,Electricity Balance: Use,Investment: % of Nominal GDP: Annual: United Arab Emirates,National Income (NI): saar,GDP: saar: Net Exports of Goods and Svcs (NE),IPI: sa: Mining
Region,Albania,United Arab Emirates,United States,United States,United States
Subnational,,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""",Monthly
Unit,MWh,%,USD bn,USD bn,2012=100
Source,Institute of Statistics of Albania,CEIC Data,Bureau of Economic Analysis,Bureau of Economic Analysis,Federal Reserve Board
Status,Active,Active,Active,Active,Active
Series ID,401201077,278980803,404765417 (UAZCSDBAAABJGH),404763867 (UAZCSDBAAABJAI),369005487 (UBRDABQAAAABST)
SR Code,SR113808847,SR6588973,SR116072697,SR116065067,SR91123587
Mnemonic,AL.NGELCSUMDOM.VO.Q,AE.GDPGCF.NMRT.A,US.NNI.NMAS.SA-USD-BN-Q,US.GDPX.NMAS.SA-USD-BN-Q,US.IPIMQ.VOFI.SA-M
Function Information,,,,,
First Obs. Date,03/2012,12/1972,03/1947,03/1947,01/1919
Last Obs. Date,12/2018,12/2017,12/2018,03/2019,04/2019
Last Update Time,07/03/2019,29/03/2019,28/03/2019,26/04/2019,15/05/2019
Series remarks,,"1. CEIC calculates annual Investment as % of Nominal GDP from annual Nominal Gross Capital Formation and annual Nominal GDP. Gross Capital Formation is calculated as the sum of Gross Fixed Capital Formation and Changes in Inventories.
2. Federal Competitiveness and Statistics Authority provides Nominal Gross Capital Formation in local currency and Nominal GDP in local currency, based on SNA 2008.
3. Investment as % of Nominal GDP prior to 2010 is based on SNA 1993.",,,
Suggestions,,,,,
Mean,1882420.7458242513,20.877996234347826,5122.803597222226,-172.29412802768147,71.06601436877071
Variance,28568348436.732006,17.713635525327735,27117702.002454318,59605.37283234814,732.8328327078144
Standard Deviation,169021.73953882974,4.20875700478511,5207.46598668242,244.14211605609577,27.070885332914667
Skewness,0.34576325310503664,0.524083327727042,0.8799071020385721,-1.164283190695994,-0.36075025145690476
Kurtosis,-0.916674692836648,-0.1322329077861757,-0.5438576176609238,-0.18079146946639657,-1.0745456082880391
Coefficient Variation,0.08978956480041372,0.2015881676355988,1.016526573360357,-1.417007757901482,0.38092589789038056
Min,1602094.32620527,13.60163048,213,-805.63,16.8788
Max,2206954.61514,31.63355188,17812.151,21.582,132.4753
Median,1823209.668664185,19.848985804999998,2894.893,-29.582,84.09545
No. of Obs,28,46,288,289,1204
01/1919,,,,,25.0624
02/1919,,,,,22.1397
03/1919,,,,,21.1167
04/1919,,,,,22.5781
05/1919,,,,,23.528
06/1919,,,,,24.1856
07/1919,,,,,25.647
08/1919,,,,,24.9163
09/1919,,,,,26.8892
10/1919,,,,,27.6929
11/1919,,,,,19.9477
12/1919,,,,,24.4048
01/1920,,,,,27.2545
02/1920,,,,,26.8892
03/1920,,,,,27.5468
04/1920,,,,,25.9393
05/1920,,,,,26.8891
06/1920,,,,,28.0582
07/1920,,,,,27.9121
08/1920,,,,,28.862
09/1920,,,,,26.8892
10/1920,,,,,28.9351
11/1920,,,,,29.7388
12/1920,,,,,30.0311
01/1921,,,,,25.8662
02/1921,,,,,24.551
03/1921,,,,,22.8704
04/1921,,,,,22.8704
05/1921,,,,,23.3088
06/1921,,,,,22.432
07/1921,,,,,21.4821
08/1921,,,,,21.7013
09/1921,,,,,21.2629
10/1921,,,,,22.6512
11/1921,,,,,21.7013
