,CN: Population: Liaoning: Dalian: Usual Residence,CN: GDP: Shanghai,CN: GDP: Shandong: Qingdao,CN: GDP: Hebei: Qinhuangdao,GDP: SNA 1993: 2000p: Change in Stocks
Region,China,China,China,China,Indonesia
Subnational,Dalian,Shanghai,Qingdao,Qinhuangdao,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,Person th,RMB bn,RMB bn,RMB bn,IDR bn
Source,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,Central Bureau of Statistics
Status,Active,Active,Active,Active,Rebased
Series ID,371379897 (CGCIQN),146388601 (CAAHEQ),146394901 (CAAHHB),146382301 (CAAHCF),13124201 (DALPKC)
SR Code,SR92653447,SR1927066,SR1926837,SR1928786,SR500115
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,12/2004,12/1949,12/1991,12/1991,03/2000
Last Obs. Date,12/2015,12/2018,12/2018,12/2018,12/2014
Last Update Time,14/08/2017,25/01/2019,28/01/2019,08/05/2019,09/02/2015
Series remarks,,,,,
Suggestions,,,,,
Mean,6373.054,494.09318571428594,424.8071912769229,67.39844192307694,6600.721776939833
Variance,169428.57875657143,725011.1487951387,138966.20102519647,2268.8846187363606,129729264.14052759
Standard Deviation,411.6170292353943,851.4758650690803,372.78170693476426,47.632810317430994,11389.875510317379
Skewness,0.7246796983306866,1.9059329611252573,0.7309635248137782,0.5419725236233371,-0.1744118937600075
Kurtosis,-1.683725985204835,2.588982173296448,-0.8200890914322501,-1.0639923253815544,0.16259884069094888
Coefficient Variation,0.06458709266160216,1.7233102776719011,0.8775315356932264,0.7067345914582889,1.7255500072899377
Min,6015,2.028,19.744,5.413,-20573.69
Max,6987,3267.987,1200.152,163.55631,33116.8
Median,6150,37.132999999999996,295.11986,49.39027,6956.6325
No. of Obs,8,70,26,26,60
12/1949,,2.028,,,
12/1950,,2.243,,,
12/1951,,3.152,,,
12/1952,,3.666,,,
12/1953,,5.171,,,
12/1954,,5.47,,,
12/1955,,5.364,,,
12/1956,,6.361,,,
12/1957,,6.96,,,
12/1958,,9.561,,,
12/1959,,12.849,,,
12/1960,,15.839,,,
12/1961,,10.178,,,
12/1962,,8.472,,,
12/1963,,9.069,,,
12/1964,,10.07,,,
12/1965,,11.353,,,
12/1966,,12.481,,,
12/1967,,11.004,,,
12/1968,,12.324,,,
12/1969,,14.23,,,
12/1970,,15.667,,,
12/1971,,16.486,,,
12/1972,,17.098,,,
12/1973,,18.535,,,
12/1974,,19.345,,,
12/1975,,20.412,,,
12/1976,,20.812,,,
12/1977,,23.036,,,
12/1978,,27.281,,,
12/1979,,28.643,,,
12/1980,,31.189,,,
12/1981,,32.476,,,
12/1982,,33.707,,,
12/1983,,35.181,,,
12/1984,,39.085,,,
12/1985,,46.675,,,
12/1986,,49.083,,,
12/1987,,54.546,,,
12/1988,,64.83,,,
12/1989,,69.654,,,
12/1990,,78.166,,,
12/1991,,89.377,19.744,5.413,
12/1992,,111.432,,,
12/1993,,151.923,,,
12/1994,,199.086,52.07599,13.93006,
12/1995,,251.808,64.20308,17.22375,
12/1996,,298.075,71.02,20.10365,
12/1997,,346.528,79.77025,23.07143,
12/1998,,383.1,88.83973,24.94997,
12/1999,,422.23,99.283,26.29975,
03/2000,,,,,8012.4
06/2000,,,,,10964.7
09/2000,,,,,6386.2
12/2000,,481.215,115.00703,28.53937,7919.5
03/2001,,,,,16161.8
06/2001,,,,,15815.3
09/2001,,,,,13292.3
12/2001,,525.766,131.60846,30.73141,-3422.6
03/2002,,,,,18437.4
06/2002,,,,,-14703.3
09/2002,,,,,6888.1
12/2002,,579.502,151.817,33.56576,2462.8
03/2003,,,,,4511.1
06/2003,,,,,10132
09/2003,,,,,33116.8
12/2003,,676.238,178.042,38.70301,-1763.2
03/2004,,,,,3194.233
06/2004,,,,,7025.165
09/2004,,,,,6270.346
