,CN: Share to GDP Growth: Secondary Industry,CN: Population: Jiangsu: Suzhou: Usual Residence,"FAI: ytd: SI: Mfg: Timber Processing, Bamboo, Cane. Palm Fibre","FAI: ytd: Tertiary Ind: Info Transmission, Computer & Software","FAI: ytd: Primary Industry: Farming, Forestry, Animal Husbandry"
Region,China,China,China,China,China
Subnational,,Suzhou,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly
Unit,%,Person th,RMB mn,RMB mn,RMB mn
Source,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics
Status,Active,Active,Active,Active,Active
Series ID,403765247 (CAASUU),371380277 (CGCIRZ),7882201 (COBDNL),7885001 (COBDON),7880701 (COBDMW)
SR Code,SR114846647,SR92653697,SR782334,SR782370,SR782317
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,12/1978,12/2006,01/2004,01/2004,01/2004
Last Obs. Date,12/2018,12/2018,12/2017,12/2017,12/2017
Last Update Time,23/01/2019,04/03/2019,22/01/2018,22/01/2018,22/01/2018
Series remarks,,,,,
Suggestions,,,,,
Mean,51.91463414634146,10059.177226258462,93995.37708333333,138539.17214285716,405746.0137500001
Variance,135.7742804878049,779476.8013251992,11935209782.336466,20250663517.461056,305890010583.098
Standard Deviation,11.65222212660765,882.8798340234073,109248.38571959069,142304.82605119568,553073.2416082865
Skewness,-0.26368050904593693,-1.30371915987634,1.4244686923329364,1.7439515712549256,1.7984823579714306
Kurtosis,1.9780281198667748,0.3694464606564529,1.1559864753806468,2.998719384193896,2.6314721618078054
Coefficient Variation,0.2244496627629381,0.08776859321244873,1.1622740299529255,1.027181149202014,1.3631020955613424
Min,17.7,8098.6,579,5134,1038
Max,85.6,10721.7,445649,698743,2463833
Median,52,10549.06394136,47449.7,97850.48000000001,144352.47
No. of Obs,41,13,168,168,168
12/1978,61.8,,,,
12/1979,53.6,,,,
12/1980,85.6,,,,
12/1981,17.7,,,,
12/1982,28.8,,,,
12/1983,43.5,,,,
12/1984,42.7,,,,
12/1985,61.2,,,,
12/1986,53.2,,,,
12/1987,55,,,,
12/1988,61.3,,,,
12/1989,44,,,,
12/1990,39.8,,,,
12/1991,61.1,,,,
12/1992,63.2,,,,
12/1993,64.4,,,,
12/1994,66.3,,,,
12/1995,62.8,,,,
12/1996,62.2,,,,
12/1997,59.1,,,,
12/1998,59.7,,,,
12/1999,56.9,,,,
12/2000,59.6,,,,
12/2001,46.4,,,,
12/2002,49.4,,,,
12/2003,57.9,,,,
01/2004,,,579,5134,1038
02/2004,,,579,5134,1038
03/2004,,,1602,12310,3801
04/2004,,,2915,22639,8117
05/2004,,,3980,33748,12992
06/2004,,,6681,51305,21226
07/2004,,,8232,67251,27704
08/2004,,,9765,79693,33044
09/2004,,,11668,93188,40899
10/2004,,,13258,105255,46980
11/2004,,,15138,121985,52869
12/2004,51.8,,17905,160472,64332
01/2005,,,903,5699,1820
02/2005,,,903,5699,1820
03/2005,,,2600,13263,5605
04/2005,,,4113,24787,10787
05/2005,,,6183,34872,16566
06/2005,,,9911,48870,25884
07/2005,,,12712,62227,32598
08/2005,,,14917,73063,39643
09/2005,,,18422,88049,48548
10/2005,,,21136,99960,56711
11/2005,,,24075,117093,65621
12/2005,50.5,,28192,154230,82277
01/2006,,,1620,5727,2447
02/2006,,,1620,5727,2447
03/2006,,,4129,14676,8247
04/2006,,,6278,25106,14441
05/2006,,,9132,35493,22577
06/2006,,,15155,51402,36280
07/2006,,,18625,70413,45456
08/2006,,,21507,84108,54775
09/2006,,,25292,102958,66504
10/2006,,,29433,116314,76518
11/2006,,,34495,131670,89771
12/2006,49.7,8098.6,40919,178591,110171
01/2007,,,2132,7909,3055
