,Investor Custody: No of Equity: Foreign,External Public Debt: Outstanding: Central Govt: IC: Bilateral Loans: ow Japan,Turnover Index: NACE 2: swda: DM: MQ: Coal and Lignite Mining,Turnover Index: NACE 2: wda: DM: Mfg: Rubber and Plastics Products,External Public Debt Service: Guaranteed: Cash Basis: Principal
Region,Turkey,Jordan,Turkey,Turkey,Jordan
Subnational,,,,,
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly
Unit,Share mn,JOD mn,2015=100,2015=100,JOD mn
Source,Central Registry Agency,Ministry of Finance,Turkish Statistical Institute,Turkish Statistical Institute,Ministry of Finance
Status,Active,Active,Active,Active,Active
Series ID,246248503 (TRZRCC),213051202,401347857 (TRCBBLAAAAAAXH),401346947 (TRCBBLAAAAABCC),131409108
SR Code,SR4618178,SR3636912,SR113965517,SR113964557,SR2044611
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,11/2005,01/2002,01/2005,01/2005,01/2004
Last Obs. Date,04/2019,03/2019,03/2019,03/2019,03/2019
Last Update Time,15/05/2019,15/05/2019,15/05/2019,15/05/2019,15/05/2019
Series remarks,,,,,
Suggestions,,,,,
Mean,17179.481381913585,859.3737198067627,99.71391969169589,74.92626977467833,5.387431693989071
Variance,28703598.362446822,22152.18948172694,1105.5032195784486,2095.8180414780127,159.02121479613325
Standard Deviation,5357.573925056641,148.8361161873251,33.249108553139415,45.78010530217261,12.610361406245788
Skewness,-0.5024800246677189,-0.4950204309519008,0.2433488721333072,1.0166693749417388,5.410229252194105
Kurtosis,-0.8743209321546037,-1.036729444894025,0.3351976513570736,0.12893138877443366,35.02537868904125
Coefficient Variation,0.31185888595548933,0.1731913750176025,0.333445006032677,0.6110020616246427,2.340700007447996
Min,5914.090602,526.4,37.16307404,21.21473723,0
Max,24802.360586,1097.8,196.80909504,208.70985206,109.3
Median,17971.3675615,909.5,101.07120417,61.84953784,2.3
No. of Obs,162,207,171,171,183
01/2002,,886.6,,,
02/2002,,888.26,,,
03/2002,,901.33,,,
04/2002,,917.9,,,
05/2002,,947.2,,,
06/2002,,980.37,,,
07/2002,,992.43,,,
08/2002,,984.71,,,
09/2002,,959.66,,,
10/2002,,944.09,,,
11/2002,,956.39,,,
12/2002,,974.71,,,
01/2003,,989.08,,,
02/2003,,996.61,,,
03/2003,,970.22,,,
04/2003,,967.6,,,
05/2003,,974.81,,,
06/2003,,966.19,,,
07/2003,,963.02,,,
08/2003,,988.07,,,
09/2003,,1040.85,,,
10/2003,,1056.07,,,
11/2003,,1043.15,,,
12/2003,,1074.74,,,
01/2004,,1078.5,,,17.8
02/2004,,1049.8,,,1.4
03/2004,,1097.8,,,1.7
04/2004,,1030.9,,,5.7
05/2004,,1031.8,,,1.6
06/2004,,1044.2,,,4.8
07/2004,,1012.4,,,1
08/2004,,1032.8,,,6.6
09/2004,,1020.5,,,4.2
10/2004,,1058.8,,,10
11/2004,,1085,,,1.1
12/2004,,1079.2,,,2.4
01/2005,,1084.2,44.50740504,22.22304804,1.2
02/2005,,1070.3,46.48065539,21.21473723,0
03/2005,,1044.5,42.16665936,26.10152654,1.4
04/2005,,1050.3,45.25893038,25.91578143,4.3
05/2005,,1025.3,45.14916133,28.97337936,0
06/2005,,1006.2,47.95511474,28.96320495,2.4
07/2005,,987.5,41.22501611,28.43415246,1.8
08/2005,,993.7,43.39741214,28.20016905,0.2
09/2005,,980.8,40.89746753,31.8607293,0.5
10/2005,,951.4,41.89029486,31.80616811,4.1
11/2005,5914.090602,916.7,39.21431679,28.82057394,0
12/2005,5960.13731833,930.4,37.16307404,28.70099221,2.3
01/2006,6083.39342512,930.2,40.72458709,24.1746746,1
02/2006,6154.6003644,939.9,44.45437011,23.99611145,0.2
03/2006,6300.25500026,931,42.31037235,29.83289796,0.5
04/2006,6459.20156408,946.6,44.32425885,31.02090003,3.2
05/2006,6789.06568015,960,42.02311975,35.99694018,1
06/2006,6921.33854933,938,41.04331953,37.82971052,2.7
07/2006,7135.52551327,937,45.11269699,43.78679749,1
08/2006,7154.50731277,916.2,47.35273254,37.7103999,0
09/2006,7208.86066898,912.4,51.88989291,37.65504224,0.5
10/2006,7326.2231882,904.2,50.45134865,37.18697386,4.3
11/2006,7732.11618312,910.7,53.5041449,35.27670864,0
12/2006,7739.19437055,887.6,60.63967401,38.18590482,1.7
01/2007,8364.300851,865.5,61.63783679,31.92380233,1
02/2007,8739.167061,887,58.89355951,31.01961715,0.2
03/2007,8861.444629,893,59.49807022,35.85671628,0.8
04/2007,9127.202253,869.1,69.20166914,36.69639659,5.8
05/2007,9599.057626,850.8,70.40484935,38.43254366,1
06/2007,9866.513756,835.8,66.38104298,38.48206734,0.7
07/2007,10408.593801,862.7,70.40669229,39.21832932,1.2
08/2007,10321.891543,884.4,70.38626931,36.94416182,0
09/2007,10778.793295,893.2,74.66343143,39.62600715,0
10/2007,11046.45436,885.8,79.82633075,37.868195,3.6
11/2007,11057.958096,917.2,70.84624941,36.95821313,0
12/2007,11125.373319,884.3,71.53189752,35.76009638,0.6
01/2008,11213.47001617,944.3,73.42657009,32.09399318,1
02/2008,11238.18959704,957.4,80.22014193,30.93686924,0
03/2008,11108.48935806,1000.5,82.88948085,39.43843109,0
04/2008,11195.00432665,950.7,78.37172578,40.93070387,3.9
05/2008,11671.17810822,932.6,88.15203924,42.39471831,0
06/2008,12919.71816758,918.3,88.70630124,41.46226744,1
07/2008,13173.97964535,901.4,87.04973309,41.85119646,1.1
08/2008,13321.56961877,890.2,99.30270858,36.4475504,0
09/2008,13291.052726,930.1,87.21792756,37.74750219,0
10/2008,12711.07216145,972.6,92.43917563,38.84776667,3.9
11/2008,12361.96696455,1002.8,96.36360796,35.36236906,0
12/2008,12458.193683,1035.8,93.57242025,31.39712885,0.9
01/2009,12492.70900576,1050.2,84.43057113,24.37419243,0
02/2009,12187.68271091,962.9,84.70480419,25.58494395,0
03/2009,12156.72082017,955.7,90.06807465,32.02242489,0
04/2009,12857.06312426,946.7,86.63984861,32.69121505,3.9
05/2009,13150.09775828,953.2,90.32180267,36.2108596,1.4
06/2009,13674.91976254,950.7,92.41480103,37.85352932,0.9
07/2009,13776.07737294,953,87.97883487,37.21225416,0
08/2009,14038.48934939,978.4,95.80101726,35.43185024,0
09/2009,14020.21938777,1008.3,98.59087529,38.1835999,0
10/2009,13997.60213236,975.4,91.03885147,38.21199942,4.2
11/2009,14293.41871554,1022.8,94.69577702,40.66509563,1.4
12/2009,14487.04867393,958.6,87.23969442,41.05530581,2.7
01/2010,14634.90514449,975,79.21604958,32.16838087,0.2
02/2010,14947.11718515,979.1,80.73455388,33.26049481,0
03/2010,15051.58393434,935.2,85.69053198,41.66280261,0
04/2010,15337.47280046,912.2,89.31527455,42.52998644,2.7
05/2010,15151.21352757,938.4,95.25120856,45.51219428,2.9
06/2010,15450.25527238,954.7,100.54865951,45.76400421,0.3
07/2010,15665.43975173,973.6,99.42338118,43.53001338,0
08/2010,15749.93462005,996.9,94.54732587,43.93879816,0
09/2010,16087.50482702,1005.2,89.26922057,48.09468831,0
10/2010,16352.57514638,1023,83.92023905,48.59177555,2.8
11/2010,16985.87779076,974.7,92.81571959,50.03060578,3
12/2010,16502.9757,997.6,96.137645,53.19939673,5.3
01/2011,16346.66865454,985.8,118.15106095,45.23013637,0
02/2011,16062.05344241,988,117.57006757,45.92025273,0
03/2011,15830.92089092,968.9,111.67293156,54.88626618,0
04/2011,16022.20665,967.1,109.96031875,56.04527144,2.9
05/2011,16052.85341463,970.4,109.86633196,60.75453394,3.1
06/2011,16137.74499,962.1,108.7280481,61.58587757,5.3
07/2011,16323.69357,996.7,113.72931841,59.95000917,0
08/2011,16146.17958,1006.2,104.08420926,60.27782598,0
09/2011,16402.7822,1003.4,102.61623721,62.01843679,0
10/2011,16171.56923531,949.1,122.29890422,66.06350388,3
11/2011,16017.81887,957.8,118.95927711,62.77265155,3.1
12/2011,16100.87165,951.4,119.75734273,67.57163928,5.1
01/2012,16259.86614,963.5,124.01761791,51.22192952,0
02/2012,16427.498705,909.5,120.68041557,49.52228333,0
03/2012,16569.71977,890.7,123.50705871,61.84953784,0
04/2012,16526.212951,881.1,105.3152299,65.7440647,3.1
05/2012,16597.264546,901.5,109.88924063,68.42691849,3
06/2012,17034.306901,885.6,128.91217241,66.55496243,5.1
07/2012,17872.264868,893.9,122.57091198,66.24255418,0
08/2012,18070.470255,887.6,122.07247534,61.32845675,1.4
09/2012,18208.218612,895.4,125.80487695,69.72931646,0
10/2012,18316.152082,895.1,113.77560994,71.24912212,3.2
11/2012,18675.642885,859.6,98.6916649,68.96142147,3
12/2012,18957.889107,858.6,93.65838697,72.67964872,5.1
01/2013,19181.574413,812,103.37772658,57.2697937,0
02/2013,19049.050912,797.2,101.07120417,58.2055029,1.5
03/2013,19129.014905,783.9,102.18459035,71.25765039,0
04/2013,19255.02655,735.4,106.30165372,70.47510991,3.3
05/2013,19260.756,708.6,107.55475592,74.60093975,3
06/2013,19143.551538,715.8,108.90845694,76.60305335,5.4
07/2013,19328.287837,718,111.04909215,74.1566594,0
08/2013,19242.113202,713.8,104.88587891,71.04821274,2
09/2013,19244.12919,718.6,109.04218427,83.92730333,0
