,AT: Capacity Utilization Rate: sa: NACE 2,CA: No of Tourist Arrivals: % Change over Previous Period,ES: No of Tourist Arrivals: YoY,ES: No of Tourist Nights: YoY,UY: No of Tourist Arrivals: % Change over Previous Period
Region,European Union,Canada,Spain,Spain,Uruguay
Subnational,,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,%,%,%,%,%
Source,European Commission's Directorate-General for Economic and Financial Affairs,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active
Series ID,239791502 (EUBGAIBY),414271127,414271697,414270987,414270637
SR Code,SR4512689,SR126219827,SR126219757,SR126219727,SR126219197
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,03/1996,06/2015,03/2017,03/2017,06/2002
Last Obs. Date,06/2019,12/2018,12/2018,12/2018,12/2018
Last Update Time,15/05/2019,20/05/2019,20/05/2019,20/05/2019,20/05/2019
Series remarks,,,,,
Suggestions,,,,,
Mean,85.36063829787231,20.654139370666666,3.6919464200000003,2.884679845,10.292964202537313
Variance,6.433380233356207,3865.035437514993,10.85515674116257,8.788665911874173,1638.202105507778
Standard Deviation,2.536410896001712,62.169409177786086,3.294716488738078,2.9645684191588786,40.47470945550787
Skewness,-1.4343657173046722,0.005965220764775458,0.7704553675713061,0.4008028097462989,-0.5921654784540819
Kurtosis,3.6274595920785804,-1.7866549277135344,0.685743650790676,-0.20096862738093524,-0.975637557423016
Coefficient Variation,0.029714057281890482,3.010021771523439,0.8924063661622906,1.0276940868489615,3.932269524995577
Min,75.9,-54.11017588,-0.30733519,-1.07724486,-64.89679309
Max,88.9,109.19473588,9.94473939,8.03349304,80.35886721
Median,85.30000000000001,49.84003872,3.783853175,3.090369135,21.609471
No. of Obs,94,15,8,8,67
03/1996,84.8,,,,
06/1996,83.7,,,,
09/1996,83.6,,,,
12/1996,84.1,,,,
03/1997,83.9,,,,
06/1997,85.1,,,,
09/1997,86.1,,,,
12/1997,86.5,,,,
03/1998,87.1,,,,
06/1998,87.8,,,,
09/1998,88,,,,
12/1998,86.6,,,,
03/1999,85.5,,,,
06/1999,84.8,,,,
09/1999,83.8,,,,
12/1999,85.9,,,,
03/2000,87,,,,
06/2000,88,,,,
09/2000,88.9,,,,
12/2000,88.9,,,,
03/2001,88.5,,,,
06/2001,87.2,,,,
09/2001,86.4,,,,
12/2001,84.2,,,,
03/2002,84.4,,,,
06/2002,84.7,,,,-56.29010699
09/2002,84.8,,,,7.15229289
12/2002,83.8,,,,35.07757213
03/2003,85.2,,,,53.71488175
06/2003,86.1,,,,-51.44283134
09/2003,85.4,,,,13.15010084
12/2003,86.3,,,,58.74241685
03/2004,85.4,,,,60.65531014
06/2004,85.7,,,,-57.29629854
09/2004,86.9,,,,2.46495549
12/2004,87.2,,,,62.10972136
03/2005,87.2,,,,50.8519581
06/2005,86,,,,-64.89679309
09/2005,85,,,,24.68738325
12/2005,85.5,,,,54.47257644
03/2006,85.9,,,,32.03132428
06/2006,87,,,,-55.92718914
09/2006,88.3,,,,8.04427538
12/2006,88.7,,,,49.25334761
03/2007,88.3,,,,26.75394421
06/2007,88.7,,,,-51.08647861
09/2007,88.3,,,,11.65280207
12/2007,88.4,,,,58.75989871
03/2008,87.5,,,,35.2461737
06/2008,87.7,,,,-56.76592496
09/2008,86.2,,,,20.01412821
12/2008,85.1,,,,48.93525331
03/2009,80.2,,,,28.16802755
06/2009,75.9,,,,-47.7738729
09/2009,75.9,,,,-6.64800523
12/2009,77.7,,,,80.35886721
03/2010,78.7,,,,18.23828973
06/2010,82,,,,-45.50106649
09/2010,83.2,,,,24.05112495
12/2010,83.7,,,,42.99535073
03/2011,84.6,,,,45.54193601
06/2011,86.3,,,,-49.94537442
09/2011,85.8,,,,7.98138835
12/2011,85,,,,37.74173892
03/2012,85.1,,,,31.95632747
06/2012,84.7,,,,-48.7423694
09/2012,84.9,,,,-3.44238614
12/2012,83.6,,,,45.18561956
03/2013,84.9,,,,35.85047262
06/2013,83.5,,,,-53.02511287
09/2013,83.5,,,,12.74121112
12/2013,82.6,,,,44.1003398
03/2014,84.1,,,,14.10702966
06/2014,85.1,,,,-38.79492577
09/2014,84.2,,,,4.12428453
12/2014,83.7,,,,43.94306679
03/2015,84.1,,,,21.609471
06/2015,84.2,109.19473588,,,-40.61442583
09/2015,84.4,52.22978872,,,-2.33325112
12/2015,83.4,-54.11017588,,,41.52471975
03/2016,85,-19.03955448,,,44.37753104
06/2016,84,89.45929506,,,-55.84349061
09/2016,83.2,57.67732506,,,34.47374669
12/2016,85.1,-53.68528206,,,34.9773429
03/2017,85.1,-25.46985282,1.39944428,0.70038481,47.75701183
06/2017,86.6,97.98638208,9.94473939,8.03349304,-48.02881674
09/2017,86.9,50.04752381,5.17332695,2.63380699,7.95043511
12/2017,88,-52.30494957,2.9740405,3.54693128,34.65189549
03/2018,88.8,-23.950578,5.20194769,5.09690518,45.92782425
06/2018,88.7,84.15053988,-0.30733519,-1.07724486,-59.77068
09/2018,88.7,49.84003872,0.55574189,0.09361783,10.96507527
12/2018,88.5,-52.21314584,4.59366585,4.04954449,28.72755671
03/2019,87,,,,
06/2019,87.2,,,,
