,External Debt,CA: No of Tourist Arrivals: YoY,BR: Import Price Index,BO: GDP: Volume: 1990 Prices: Seasonally Adjusted,HK: No of Tourist Arrivals
Region,Qatar,Canada,Brazil,Bolivia,Hong Kong SAR
Subnational,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""",Monthly,"Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD mn,%,2010=100,BOB mn,Person th
Source,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active
Series ID,243021503,414271657,414270777,414271327,414271677
SR Code,SR4954364,SR126219817,SR126219687,SR126220047,SR126219957
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,12/2000,03/2016,01/2006,12/2000,03/2008
Last Obs. Date,12/2010,12/2018,03/2019,12/2017,12/2018
Last Update Time,03/02/2017,20/05/2019,20/05/2019,20/05/2019,20/05/2019
Series remarks,,,,,
Suggestions,,,,,
Mean,37397.545454545456,6.319692642500001,100.91677711723274,31982.67044532389,12281.451704545454
Variance,1015731793.2727274,30.952921526343243,118.00183032992904,61634771.45409143,10353274.396415794
Standard Deviation,31870.54742662459,5.563534984732571,10.862864738637274,7850.781582370728,3217.6504465861103
Skewness,1.2584934710005775,0.7871696664113711,-0.01938536364346428,0.46479567034792807,-0.3571298825405283
Kurtosis,0.4397198982588417,0.3698092136139408,-1.079155147357507,-1.0724387246175673,-1.0901941432611126
Coefficient Variation,0.8522096046480213,0.8803489820561426,0.10764181188642329,0.2454698583031728,0.2619926800180499
Min,13355,0.08525568,78.82480183,22356.26523681,6293.066
Max,103900,18.31496487,119.45292499,46235.89982709,18465.807
Median,17800,6.37723463,99.86172529,30786.03953866,13331.938
No. of Obs,11,12,159,18,44
12/2000,15200,,,22356.26523681,
12/2001,14328,,,22732.69977009,
12/2002,13893,,,23297.73591387,
12/2003,13355,,,23929.41702664,
12/2004,15011,,,24928.06215312,
12/2005,17800,,,26030.23979041,
01/2006,,,78.82480183,,
02/2006,,,78.89051655,,
03/2006,,,81.43696179,,
04/2006,,,81.94625084,,
05/2006,,,83.35090289,,
06/2006,,,83.86019194,,
07/2006,,,82.80054215,,
08/2006,,,84.01626439,,
09/2006,,,83.45768931,,
10/2006,,,82.75947045,,
11/2006,,,82.6444697,,
12/2006,29824,,81.73267801,27278.91267101,
01/2007,,,82.94840026,,
02/2007,,,82.78411347,,
03/2007,,,82.98947195,,
04/2007,,,86.58735266,,
05/2007,,,88.1562915,,
06/2007,,,88.77236696,,
07/2007,,,90.47273524,,
08/2007,,,91.26952617,,
09/2007,,,90.86702353,,
10/2007,,,91.49131334,,
11/2007,,,94.65383404,,
12/2007,47162,,95.91884233,28524.0271228,
01/2008,,,96.73206194,,
02/2008,,,100.50244377,,
03/2008,,,103.84567994,,7275.521
04/2008,,,108.36356667,,
05/2008,,,108.04320743,,
06/2008,,,112.79931,,6909.983
07/2008,,,116.9393371,,
08/2008,,,116.37254768,,
09/2008,,,116.38076202,,7583.307
10/2008,,,111.53430171,,
11/2008,,,107.72284819,,
12/2008,57100,,100.42030037,30277.82631464,7737.805
01/2009,,,101.6113796,,
02/2009,,,96.26384458,,
03/2009,,,95.23705215,,7403.713
04/2009,,,93.56132689,,
05/2009,,,93.19989595,,
06/2009,,,95.45883931,,6293.066
07/2009,,,96.17348685,,
08/2009,,,96.42813137,,
09/2009,,,96.57598949,,7463.194
10/2009,,,96.6827759,,
11/2009,,,96.92099174,,
12/2009,83800,,96.87992005,31294.25276268,8430.681
01/2010,,,96.59241816,,
02/2010,,,98.12849965,,
03/2010,,,97.54528155,,8624.688
04/2010,,,100.22315622,,
05/2010,,,100.61744452,,
06/2010,,,99.86172529,,8231.328
07/2010,,,99.04029134,,
08/2010,,,101.55387922,,
09/2010,,,99.54136604,,9319.934
10/2010,,,101.29102036,,
11/2010,,,102.3178128,,
12/2010,103900,,103.28710486,32585.6798097,9854.381
01/2011,,,106.40033953,,
02/2011,,,107.48463234,,
03/2011,,,111.55073039,,9707.971
04/2011,,,116.36433334,,
05/2011,,,116.67647824,,
06/2011,,,116.12611749,,9623.21
07/2011,,,116.44647673,,
08/2011,,,117.77719973,,
09/2011,,,115.51004203,,11092.24
10/2011,,,114.9843243,,
11/2011,,,115.77290089,,
12/2011,,,116.19183221,34148.62128352,11497.889
01/2012,,,114.72967978,,
02/2012,,,116.08504579,,
03/2012,,,118.10577331,,11222.728
04/2012,,,119.45292499,,
05/2012,,,118.18791671,,
06/2012,,,115.46075599,,11100.026
07/2012,,,113.67002998,,
08/2012,,,113.03752584,,
09/2012,,,113.94931753,,13053.647
10/2012,,,113.39074244,,
11/2012,,,114.35182016,,
12/2012,,,113.91646017,36059.79795539,13238.712
01/2013,,,113.67002998,,
02/2013,,,115.21432581,,
03/2013,,,115.56754241,,12742.332
04/2013,,,116.46290541,,
05/2013,,,116.17540353,,
06/2013,,,114.4421779,,12623.521
07/2013,,,112.79931,,
08/2013,,,112.43787906,,
09/2013,,,113.10324056,,14498.912
10/2013,,,111.90394699,,
11/2013,,,112.90609641,,
12/2013,,,113.51395753,38486.56986298,14434.039
01/2014,,,110.91822625,,
02/2014,,,112.1339485,,
03/2014,,,113.7768164,,14697.981
04/2014,,,113.79324507,,
05/2014,,,112.99645414,,
06/2014,,,114.13824733,,13831.234
07/2014,,,112.77466698,,
08/2014,,,112.57752283,,
09/2014,,,110.83608286,,16129.877
10/2014,,,110.29393645,,
11/2014,,,110.1789357,,
12/2014,,,106.87677122,40588.15582627,16179.744
01/2015,,,104.66711389,,
02/2015,,,101.58673658,,
03/2015,,,97.79992607,,15420.685
04/2015,,,101.02816149,,
05/2015,,,100.39565735,,
06/2015,,,98.81850417,,13906.555
07/2015,,,98.09564229,,
08/2015,,,98.46528757,,
09/2015,,,96.40348836,,15097.083
10/2015,,,96.56777515,,
11/2015,,,93.30668237,,
12/2015,,,94.85919253,42559.59854895,14883.273
