,Broad Money (M2),Average Monthly Expenditure per Capita,External Debt,External Debt: Education,External Debt: Construction
Region,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia
Subnational,,,,,
Frequency,Monthly,"Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly
Unit,IDR bn,IDR,USD mn,USD mn,USD mn
Source,Bank of Indonesia,Central Bureau of Statistics,Directorate General of Budget Financing and Risk Management,Directorate General of Budget Financing and Risk Management,Directorate General of Budget Financing and Risk Management
Status,Active,Active,Active,Active,Active
Series ID,64073201 (DKCBG),131136701 (DHEAA),253408802,401339877,401339787
SR Code,SR189680,SR1541119,SR4932326,SR113960287,SR113960197
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,01/2002,12/2000,01/2008,01/2015,01/2015
Last Obs. Date,03/2019,12/2017,03/2019,03/2019,03/2019
Last Update Time,08/05/2019,03/07/2018,17/05/2019,17/05/2019,17/05/2019
Series remarks,,,,,
Suggestions,,,,,
Mean,2698484.297294687,485600.8888888889,259969.54599611423,24258.407935060393,26661.20043390157
Variance,2494805769815.9844,81674269154.22223,5065501160.806816,12590081.773771286,24743404.301763635
Standard Deviation,1579495.4162060693,285787.1045974997,71172.33423744662,3548.25052297203,4974.274248748618
Skewness,0.47075837832533535,0.5702554866604072,-0.10874957088892004,-0.10576867027188884,-0.15914503144497041
Kurtosis,-1.1715498083868536,-0.8890133333068286,-1.1820742628586982,-1.4806328701765226,-1.7013618751153399
Coefficient Variation,0.5853268880569591,0.5885226142221728,0.2737718141743819,0.14626889499387902,0.18657352886569517
Min,828278,126133,144918.87436131,19132.45813791,19798.41974129
Max,5760046.2,1036497,387769.60638288,30075.77443642,33189.77590817
Median,2236459.45,408217.5,263708.21218223,24105.52549018,28052.05815404
No. of Obs,207,18,135,51,51
12/2000,,126133,,,
12/2001,,145503,,,
01/2002,838025,,,,
02/2002,837160,,,,
03/2002,831410,,,,
04/2002,828278,,,,
05/2002,833084,,,,
06/2002,838635,,,,
07/2002,852717,,,,
08/2002,856834,,,,
09/2002,859706,,,,
10/2002,863009,,,,
11/2002,870047,,,,
12/2002,883908,206336,,,
01/2003,873683,,,,
02/2003,881215,,,,
03/2003,877776,,,,
04/2003,882809,,,,
05/2003,893074,,,,
06/2003,894554,,,,
07/2003,901389,,,,
08/2003,905499,,,,
09/2003,911223,,,,
10/2003,926324,,,,
11/2003,944647,,,,
12/2003,955692,224902,,,
01/2004,939143,,,,
02/2004,927053,,,,
03/2004,927302,,,,
04/2004,928584,,,,
05/2004,951848,,,,
06/2004,973398,,,,
07/2004,974096,,,,
08/2004,982669,,,,
09/2004,988174,,,,
10/2004,998166,,,,
11/2004,1001587,,,,
12/2004,1033877,235337,,,
01/2005,1017491,,,,
02/2005,1014376,,,,
03/2005,1022703,,,,
04/2005,1046656,,,,
05/2005,1049516,,,,
06/2005,1076526,,,,
07/2005,1092206,,,,
08/2005,1119102,,,,
09/2005,1154053,,,,
10/2005,1168842,,,,
11/2005,1169085,,,,
12/2005,1202762,286741,,,
01/2006,1194939,,,,
02/2006,1197772,,,,
03/2006,1198748,,,,
04/2006,1197122,,,,
05/2006,1241865,,,,
06/2006,1257785,,,,
07/2006,1252816,,,,
08/2006,1274084,,,,
09/2006,1294744,,,,
10/2006,1329425,,,,
11/2006,1341940,,,,
12/2006,1382493,293061,,,
01/2007,1367957,,,,
02/2007,1369243,,,,
03/2007,1379237,,,,
04/2007,1385715,,,,
05/2007,1396069,,,,
06/2007,1454577,,,,
07/2007,1474769,,,,
08/2007,1493050,,,,
09/2007,1516884,,,,
10/2007,1533846,,,,
11/2007,1559570,,,,
12/2007,1649662,353421,,,
01/2008,1596565,,144918.87436131,,
02/2008,1603750,,149110.24812444,,
03/2008,1594390,,149704.14297853,,
04/2008,1611691,,147871.18066843,,
05/2008,1641733,,146505.21105095,,
06/2008,1703381,,150772.29010302,,
07/2008,1686050,,155028.93742326,,
08/2008,1682811,,154181.10266139,,
09/2008,1778139,,151945.87469681,,
10/2008,1812490,,150535.80146565,,
11/2008,1851023,,148119.35183442,,
12/2008,1895839,386370,155080.16550002,,
01/2009,1874145,,151457.42025845,,
02/2009,1900208,,147286.50689194,,
03/2009,1916752,,150965.00122409,,
04/2009,1912623,,152014.54016783,,
05/2009,1927070,,154455.29795709,,
06/2009,1977533,,153740.76288642,,
07/2009,1960950,,157017.56841701,,
08/2009,1995294,,158521.94081404,,
09/2009,2018510.3,,167989.0826873,,
10/2009,2021517,,170785.14504093,,
11/2009,2062206,,175493.30115459,,
12/2009,2141384,430065,172870.53769749,,
01/2010,2073859.77,,178041.37407896,,
02/2010,2066480.99,,178966.49666002,,
03/2010,2112082.7,,180833.61977827,,
04/2010,2116023.54,,185842.67875665,,
05/2010,2143234.05,,180343.51307693,,
06/2010,2231144.33,,183328.68942734,,
07/2010,2217588.81,,188650.22658446,,
08/2010,2236459.45,,191952.3745107,,
09/2010,2274954.57,,195825.50196972,,
10/2010,2308845.97,,200343.3439916,,
11/2010,2347806.86,,197832.7868184,,
12/2010,2471205.79,494845,202413.17040424,,
01/2011,2436678.95,,200603.14593981,,
02/2011,2420191.14,,204561.35408441,,
03/2011,2451356.92,,210080.01219629,,
04/2011,2434478.39,,216798.8890635,,
05/2011,2475285.98,,221513.6522315,,
06/2011,2522783.81,,222816.28572479,,
07/2011,2564556.13,,227455.66090257,,
08/2011,2621345.74,,230452.04132686,,
09/2011,2643331.45,,224503.65635383,,
10/2011,2677786.93,,223325.16846962,,
11/2011,2729538.27,,222118.9593907,,
12/2011,2877219.57,593664,225374.52511624,,
01/2012,2857126.93,,231333.13275129,,
02/2012,2852004.94,,229627.25984421,,
03/2012,2914194.47,,228760.64955502,,
04/2012,2929610.37,,235425.38826077,,
05/2012,2994474.39,,237621.6265402,,
06/2012,3052786.1,,238916.78292388,,
07/2012,3057335.75,,241787.53870826,,
08/2012,3091568.49,,241474.07646025,,
09/2012,3128179.27,,243649.33031245,,
10/2012,3164443.15,,248114.86410196,,
11/2012,3207908.29,,251120.90021018,,
12/2012,3307507.55,633269,252364.22899395,,
01/2013,3268789.15,,251882.02269633,,
02/2013,3280420.25,,253842.52464597,,
03/2013,3322528.96,,254821.95309354,,
04/2013,3360928.07,,257694.27523968,,
05/2013,3426304.92,,259337.7815342,,
06/2013,3413378.66,,258007.45042481,,
07/2013,3506573.6,,265177.39356189,,
08/2013,3502419.8,,262163.32793347,,
09/2013,3584080.54,,263884.92927812,,
10/2013,3576869.35,,266639.5688712,,
11/2013,3616049.2,,263708.21218223,,
12/2013,3730409.35,703561,266109.34280067,,
01/2014,3652349.28,,271189.55297741,,
02/2014,3635060.38,,273546.56073732,,
03/2014,3652530.55,,277212.42715409,,
04/2014,3721882.38,,278534.20727329,,
05/2014,3780955.28,,285079.14498767,,
06/2014,3857961.77,,286098.02002881,,
07/2014,3887407.48,,292453.34621622,,
08/2014,3886519.97,,291164.23602822,,
09/2014,4010146.66,,293947.8223713,,
10/2014,4024488.87,,295605.60474312,,
11/2014,4076669.88,,294743.59898011,,
12/2014,4173326.5,776032,293327.99514244,,
01/2015,4174825.91,,300936.26505835,19409.31131339,20221.42411026
02/2015,4218122.76,,300565.06409614,19350.60733244,20136.64611886
03/2015,4246361.19,,299025.22273917,19132.45813791,19936.37217396
04/2015,4275711.11,,300498.0750491,19156.59520846,19988.67055849
05/2015,4288369.26,,303379.40881947,19386.08293352,20025.10363289
06/2015,4358801.51,,305283.72163299,19659.17635335,20196.21221343
07/2015,4373208.1,,305033.84101112,19721.94216075,20088.15320828
08/2015,4404085.03,,304544.03767341,19535.19184869,20026.0009456
09/2015,4508603.17,,302658.7236701,19193.30847037,19798.41974129
10/2015,4443078.08,,303775.76144469,19756.63000978,20153.17718501
11/2015,4452324.65,,305040.00580232,19891.29524247,20179.43174052
12/2015,4548800.27,868823,310730.27204429,20747.86730584,20895.32318864
01/2016,4498361.28,,310737.22390304,20138.44236923,21307.73756062
02/2016,4521951.2,,314276.53072185,20601.53752486,21816.99530967
03/2016,4561872.52,,318343.83360126,21410.38455772,22514.50938605
04/2016,4581877.87,,321651.17130624,21772.2671144,23084.88404568
05/2016,4614061.82,,316998.6926076,21371.93777123,22683.08708915
06/2016,4737451.23,,327369.0522659,22835.16903058,24057.1575241
07/2016,4730379.68,,327370.05541061,23079.98289381,24182.89359393
08/2016,4746026.68,,325639.589666,23103.83955925,24129.5284779
09/2016,4737630.76,,328852.58112092,23553.28295641,24521.8016738
10/2016,4778478.89,,326209.19510653,23258.90264588,24133.27338043
11/2016,4868651.16,,318192.263328,22525.95170997,23338.5976669
12/2016,5004976.79,946256,320005.77168781,23301.12234904,23841.83704241
01/2017,4936881.99,,323823.77068528,23990.25322581,27819.63772472
02/2017,4942919.76,,324862.67904742,24105.52549018,28052.05815404
03/2017,5017643.55,,329382.3058866,24923.30854898,28819.2392294
04/2017,5033780.29,,331720.16919955,25255.09531494,29104.06833384
05/2017,5126370.15,,335353.25861936,25420.55113608,29274.99350553
06/2017,5225165.76,,336799.01556103,25797.72127567,29616.35441477
07/2017,5178078.75,,341011.91097141,26506.20882906,30323.58629832
08/2017,5219647.63,,342493.64572138,26643.46914632,30385.02503093
09/2017,5254138.51,,344560.64395543,26969.33595161,30598.80704243
10/2017,5284320.16,,341705.31642331,26526.81974484,30180.68034545
11/2017,5321431.77,,347632.59838719,27102.04431336,30777.35368608
12/2017,5419165.05,1036497,352468.6052904,27865.87539999,31603.73199307
01/2018,5351684.67,,358130.4772738,28199.30341704,32156.54587472
02/2018,5351650.33,,357280.22439613,27613.42925223,31661.11155361
03/2018,5395826.04,,359373.65880738,28253.83411023,32460.3064906
04/2018,5409088.81,,358345.50858696,28254.8308874,32386.33710035
05/2018,5435082.93,,359856.15763261,28099.80329534,32220.85669269
06/2018,5534149.83,,356407.99115796,27613.23686231,31654.9928164
07/2018,5507791.75,,358923.68764199,27733.41091529,31692.89555521
08/2018,5529451.81,,362230.23289584,27684.74313675,31675.12965327
09/2018,5606779.89,,359623.58537933,27419.49338956,31368.41027067
10/2018,5667512.1,,360627.35480131,27324.48935874,31341.85724403
11/2018,5670975.24,,373197.33290135,28322.21218193,32373.86051309
12/2018,5760046.2,,377597.8287369,28711.83108623,33189.77590817
01/2019,5646421.27,,383288.21585421,29317.46425041,32316.87778003
02/2019,5671462.22,,387769.60638288,30075.77443642,32935.04972294
03/2019,5745062.2,,387592.07702415,29555.45293201,32474.44162675
