,Household Size: Average,Passengers Traffic: Ports: Annual: Arrival,MA: No of Tourist Arrivals: % Change over Previous Period,BR: Import Price Index,BO: GDP: Volume: 1990 Prices: Seasonally Adjusted
Region,Austria,Saudi Arabia,Morocco,Brazil,Bolivia
Subnational,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Person,Person,%,2010=100,BOB mn
Source,Statistics Austria,Saudi Ports Authority,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active
Series ID,292840404,111000408,414270867,414271087,414271327
SR Code,SR6856758,SR1314045,SR126219477,SR126219267,SR126220047
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,1985,2003,2017,2006,2000
Last Obs. Date,2018,2017,2018,2018,2017
Last Update Time,14/05/2019,14/05/2019,20/05/2019,20/05/2019,20/05/2019
Series remarks,,,,,
Suggestions,,,,,
Mean,2.4269740479411763,750761,9.062936825000001,100.98529949153847,31982.67044532389
Variance,0.02414685509937204,24990069412.285713,1.2176386288477499,120.01895621022965,61634771.45409143
Standard Deviation,0.15539258379785068,158082.47661358837,1.103466641474834,10.95531634459862,7850.781582370728
Skewness,0.09249569756856801,1.5161079366910895,,-0.09623426628313558,0.46479567034792807
Kurtosis,-1.5008337418032598,0.9970319752747416,,-1.1828350526056028,-1.0724387246175673
Coefficient Variation,0.06402729519488336,0.21056298424343878,0.12175596749509879,0.10848426850005594,0.2454698583031728
Min,2.2161,610484,8.28266808,82.14339499,22356.26523681
Max,2.67113476,1084672,9.84320557,115.36149939,46235.89982709
Median,2.42257798,692159,9.062936825000001,100,30786.03953866
No. of Obs,34,15,2,13,18
1985,2.67113476,,,,
1986,2.65728532,,,,
1987,2.65587149,,,,
1988,2.63276201,,,,
1989,2.62367342,,,,
1990,2.60610433,,,,
1991,2.59065033,,,,
1992,2.57999679,,,,
1993,2.59133357,,,,
1994,2.56399088,,,,
1995,2.54138436,,,,
1996,2.52197575,,,,
1997,2.51377463,,,,
1998,2.49713541,,,,
1999,2.46758732,,,,
2000,2.4467993,,,,22356.26523681
2001,2.42809959,,,,22732.69977009
2002,2.41054553,,,,23297.73591387
2003,2.41705637,956518,,,23929.41702664
2004,2.35421864,1080594,,,24928.06215312
2005,2.33615354,1084672,,,26030.23979041
2006,2.33215432,633007,,82.14339499,27278.91267101
2007,2.32241864,721166,,88.90927262,28524.0271228
2008,2.31082223,650269,,108.30469723,30277.82631464
2009,2.28775871,610484,,96.24946949,31294.25276268
2010,2.27540012,652735,,100,32585.6798097
2011,2.263794,708615,,114.27378394,34148.62128352
2012,2.25283143,777090,,115.36149939,36059.79795539
2013,2.24336782,649640,,114.0164013,38486.56986298
2014,2.23275702,692159,,111.77457114,40588.15582627
2015,2.2247,722702,,98.49951398,42559.59854895
2016,2.22498,656495,,89.68895034,44374.30613986
2017,2.2225,665269,9.84320557,93.3292718,46235.89982709
2018,2.2161,,8.28266808,100.25806717,
