,AT: Employment: swda,FI: No of Tourist Arrivals,JO: No of Tourist Arrivals,UY: No of Tourist Arrivals,HK: No of Tourist Arrivals
Region,European Union,Finland,Jordan,Uruguay,Hong Kong SAR
Subnational,,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,Person th,Person th,Person th,Person th,Person th
Source,Eurostat,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active
Series ID,357375237,414270767,414271367,414271227,414271677
SR Code,SR85115027,SR126219627,SR126219577,SR126219387,SR126219957
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,03/1995,03/2018,12/2002,12/2002,03/2008
Last Obs. Date,12/2018,12/2018,12/2018,12/2018,12/2018
Last Update Time,15/05/2019,20/05/2019,20/05/2019,20/05/2019,20/05/2019
Series remarks,,,,,
Suggestions,,,,,
Mean,3983.426041666666,2555984,8155.33705882353,2480682.8235294116,12281.451704545454
Variance,72451.6454473246,112937117642.66667,1919298.8923345585,584257937418.1545,10353274.396415794
Standard Deviation,269.16843322968725,336061.18139807024,1385.3876325182632,764367.6716202449,3217.6504465861103
Skewness,0.18802815028172917,1.8499153889218063,0.6550094486116299,0.3857148472460692,-0.3571298825405283
Kurtosis,-1.1707841215735957,3.564881460156659,-0.003484361251843815,-0.7988963251439611,-1.0901941432611126
Coefficient Variation,0.06757209256910594,0.1314801584822402,0.16987496930238663,0.30812793331343125,0.2619926800180499
Min,3573.9,2317116,6422.7,1353872,6293.066
Max,4518.18,3053864,11390.5,3940790,18465.807
Median,3969.645,2426478,8233.8,2407676,13331.938
No. of Obs,96,4,17,17,44
03/1995,3573.9,,,,
06/1995,3585.54,,,,
09/1995,3588.83,,,,
12/1995,3599.38,,,,
03/1996,3592.3,,,,
06/1996,3599.8,,,,
09/1996,3603.08,,,,
12/1996,3608.6,,,,
03/1997,3615.2,,,,
06/1997,3624.08,,,,
09/1997,3629.91,,,,
12/1997,3643.47,,,,
03/1998,3647.26,,,,
06/1998,3662,,,,
09/1998,3668.54,,,,
12/1998,3680.15,,,,
03/1999,3707.95,,,,
06/1999,3715.02,,,,
09/1999,3720.73,,,,
12/1999,3733.4,,,,
03/2000,3742.71,,,,
06/2000,3750.45,,,,
09/2000,3753.41,,,,
12/2000,3771.01,,,,
03/2001,3779.13,,,,
06/2001,3782,,,,
09/2001,3777.01,,,,
12/2001,3787.38,,,,
03/2002,3777.7,,,,
06/2002,3774.08,,,,
09/2002,3778.84,,,,
12/2002,3781.87,,7204.5,1353872,
03/2003,3792.93,,,,
06/2003,3796.28,,,,
09/2003,3806.05,,,,
12/2003,3813.05,,6842.6,1508055,
03/2004,3807.36,,,,
06/2004,3820.74,,,,
09/2004,3833.08,,,,
12/2004,3841.54,,8348.52,1870858,
03/2005,3851.05,,,,
06/2005,3859.58,,,,
09/2005,3882.8,,,,
12/2005,3896.27,,8880.47,1917049,
03/2006,3919.55,,,,
06/2006,3934.66,,,,
09/2006,3951.52,,,,
12/2006,3957.33,,9599.64,1824340,
03/2007,3981.96,,,,
06/2007,4008.09,,,,
09/2007,4031.07,,,,
12/2007,4037.08,,8947.5,1815281,
03/2008,4070.31,,,,7275.521
06/2008,4092.03,,,,6909.983
09/2008,4098.54,,,,7583.307
12/2008,4095.64,,9458.93,1997884,7737.805
03/2009,4082.61,,,,7403.713
06/2009,4063.12,,,,6293.066
09/2009,4054.96,,,,7463.194
12/2009,4067.14,,9500.4,2098780,8430.681
03/2010,4074.21,,,,8624.688
06/2010,4092.16,,,,8231.328
09/2010,4101.02,,,,9319.934
12/2010,4125.1,,11390.5,2407676,9854.381
03/2011,4138.13,,,,9707.971
06/2011,4156.49,,,,9623.21
09/2011,4170.56,,,,11092.24
12/2011,4183.84,,8860.27,2960155,11497.889
03/2012,4197.65,,,,11222.728
06/2012,4204.2,,,,11100.026
09/2012,4208.11,,,,13053.647
12/2012,4210.39,,8233.8,2845989,13238.712
03/2013,4202.67,,,,12742.332
06/2013,4215.26,,,,12623.521
09/2013,4227.2,,,,14498.912
12/2013,4234.49,,7095.1,2815322,14434.039
03/2014,4250.13,,,,14697.981
06/2014,4258.06,,,,13831.234
09/2014,4264.94,,,,16129.877
12/2014,4265.86,,7032,2810318,16179.744
03/2015,4273.02,,,,15420.685
06/2015,4282.32,,,,13906.555
09/2015,4290.49,,,,15097.083
12/2015,4297.4,,6442,2964841,14883.273
03/2016,4314.98,,,,13735.11
06/2016,4327.63,,,,13425.164
09/2016,4352.1,,,,14557.959
12/2016,4369.5,,6422.7,3328450,14936.67
03/2017,4386.79,,,,14242.779
06/2017,4401.92,,,,13566.104
09/2017,4422.49,,,,14826.294
12/2017,4449.77,,6923.5,3940790,15836.98
03/2018,4463.99,2317116,,,15609.655
06/2018,4483.69,2439232,,,14996.384
09/2018,4493.09,3053864,,,16075.709
12/2018,4518.18,2413724,7458.3,3711948,18465.807
