,Official Reserve Assets,Gross National Disposable Income,Exports of Goods and Services,Gross Domestic Product,Gross Saving
Region,India,India,India,India,India
Subnational,,,,,
Frequency,Monthly,"Annual, ending ""Mar"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Mar"" of each year"
Unit,USD mn,INR mn,INR mn,INR mn,INR mn
Source,Reserve Bank of India,Central Statistics Office,Central Statistics Office,Central Statistics Office,Central Statistics Office
Status,Active,Active,Active,Active,Active
Series ID,81691601 (IKQB),360725037 (IAZDHAAAAAAAKQ),365383917 (IAZDHAAAAAADTG),365383817 (IAZDHAAAAAADSW),360937477 (IAZDHAAAAAAAZY)
SR Code,SR320408,SR87392577,SR87501047,SR87500977,SR87391637
Mnemonic,,IN.GNDI.NMGR.INR-MN-A,,IN.GDP.NM.INR-MN-Q,
Function Information,,,,,
First Obs. Date,10/2001,03/2005,06/2011,06/2011,03/2012
Last Obs. Date,04/2019,03/2019,12/2018,12/2018,03/2018
Last Update Time,09/05/2019,28/02/2019,06/03/2019,06/03/2019,21/03/2019
Series remarks,,,,,
Suggestions,,,,,
Mean,255204.59222748814,97314691.08267567,7086415.438057597,33097560.162585035,40244129.86227267
Variance,11498955831.156643,2665171846921557,1278983158213.2454,67477127705904.016,57892025873462.32
Standard Deviation,107233.18437478504,51625302.39060646,1130921.3757875678,8214446.281150301,7608680.954900285
Skewness,-0.46390621078303984,0.45789244190388273,0.1494315650854702,0.20518170367765637,0.32100696296512893
Kurtosis,-0.9519662059927212,-0.9869828071923665,0.13678055219276697,-1.0491744919437007,-0.6979499064747046
Coefficient Variation,0.42018516766813463,0.5304985487417018,0.15959004741860802,0.24818887678724663,0.1890631250057945
Min,45881,32559280,4930748.77691529,20294691.6517189,30268369.3929384
Max,424544.87,192817450,9654470.38467786,47857115.7668309,52160216.6368935
Median,288146,89644067.1137281,7068957.26583947,32435433.613129,40199572.0904544
No. of Obs,211,15,31,31,7
10/2001,45881,,,,
11/2001,47510,,,,
12/2001,48726,,,,
01/2002,50086,,,,
02/2002,51383,,,,
03/2002,54715,,,,
04/2002,55870,,,,
05/2002,56779,,,,
06/2002,58693,,,,
07/2002,60606,,,,
08/2002,62140,,,,
09/2002,63620,,,,
10/2002,65159,,,,
11/2002,67579,,,,
12/2002,71110,,,,
01/2003,74256,,,,
02/2003,73547,,,,
03/2003,76100,,,,
04/2003,78325,,,,
05/2003,82308,,,,
06/2003,83221,,,,
07/2003,85551,,,,
08/2003,87306,,,,
09/2003,92339,,,,
10/2003,93803,,,,
11/2003,97400,,,,
12/2003,103151,,,,
01/2004,106384,,,,
02/2004,109572,,,,
03/2004,112959,,,,
04/2004,118490,,,,
05/2004,119379,,,,
06/2004,119511,,,,
07/2004,118385,,,,
08/2004,118154,,,,
09/2004,119579,,,,
10/2004,121337,,,,
11/2004,128226,,,,
12/2004,131178,,,,
01/2005,129463,,,,
02/2005,135900,,,,
03/2005,141514,32559280,,,
04/2005,141841,,,,
05/2005,138857,,,,
06/2005,138370,,,,
07/2005,140542,,,,
08/2005,144079,,,,
09/2005,143059,,,,
10/2005,143574,,,,
11/2005,142820,,,,
12/2005,137206,,,,
01/2006,140374,,,,
02/2006,142400,,,,
03/2006,151622,37145740,,,
04/2006,160677,,,,
05/2006,163868,,,,
06/2006,162912,,,,
07/2006,164577,,,,
08/2006,166245,,,,
09/2006,165305,,,,
10/2006,167392,,,,
11/2006,174641,,,,
12/2006,177251,,,,
01/2007,180162,,,,
02/2007,194563,,,,
03/2007,199179,43560030,,,
04/2007,204409,,,,
05/2007,208069,,,,
06/2007,213362,,,,
07/2007,227107,,,,
08/2007,228848,,,,
09/2007,247761,,,,
10/2007,264692,,,,
11/2007,273520,,,,
12/2007,275316,,,,
01/2008,293240,,,,
02/2008,301235,,,,
03/2008,309723,50456510,,,
04/2008,314155,,,,
05/2008,314614,,,,
06/2008,312088,,,,
07/2008,306176,,,,
08/2008,295309,,,,
09/2008,286336,,,,
10/2008,252883,,,,
11/2008,247686,,,,
12/2008,255968,,,,
01/2009,248611,,,,
02/2009,249278,,,,
03/2009,251985,56844380,,,
04/2009,251702,,,,
05/2009,262306,,,,
06/2009,265142,,,,
07/2009,271641,,,,
08/2009,277252,,,,
09/2009,281278,,,,
10/2009,284391,,,,
11/2009,288146,,,,
12/2009,283470,,,,
01/2010,280955,,,,
02/2010,278357,,,,
03/2010,279057,65755200,,,
04/2010,279633,,,,
05/2010,273544,,,,
06/2010,275710,,,,
07/2010,284183,,,,
08/2010,283141,,,,
09/2010,292870,,,,
10/2010,297956,,,,
11/2010,292390,,,,
12/2010,297334,,,,
01/2011,299224,,,,
02/2011,301593,,,,
03/2011,304818,77946660,,,
04/2011,313511,,,,
05/2011,311516,,,,
06/2011,315715,,4930748.77691529,20434962.9115249,
07/2011,319090,,,,
08/2011,321982,,,,
09/2011,311482,,5039373.14664814,20294691.6517189,
10/2011,316210,,,,
11/2011,307884,,,,
12/2011,296688,,5579932.67654037,22448522.2905735,
01/2012,292767,,,,
02/2012,295820,,,,
03/2012,294397,89644067.1137281,5889255.3998962,24185111.2550929,30268369.3929384
04/2012,294846,,,,
05/2012,286019,,,,
06/2012,289737,,5556550.26718508,23132030.9283814,
07/2012,288776,,,,
08/2012,290461,,,,
09/2012,294812,,6943422.04124842,23569532.7496878,
10/2012,295254,,,,
11/2012,294510,,,,
12/2012,295638,,5660433.92902499,25483778.2646553,
01/2013,295508,,,,
02/2013,290912,,,,
03/2013,292046,101773311.041529,6236663.7625415,27254789.1189372,33692015.357151
04/2013,293892,,,,
05/2013,287897,,,,
06/2013,282454,,6162264.83677257,25653744.4507256,
07/2013,277572,,,,
08/2013,275491,,,,
09/2013,277233,,7474127.91923266,26862032.259028,
10/2013,281543,,,,
11/2013,290677,,,,
12/2013,293877,,7269978.81045779,29210700.4417595,
01/2014,291070,,,,
02/2014,294360,,,,
03/2014,304223,114895558.038608,7661441.43569353,30608741.3839594,36081927.832841
04/2014,310986,,,,
05/2014,312207,,,,
06/2014,316138,,7068957.26583947,29143932.2374572,
07/2014,319808,,,,
08/2014,318400,,,,
09/2014,313841,,7271078.59056758,30539820.3121027,
10/2014,315910,,,,
11/2014,315558,,,,
12/2014,320649,,7326200.39171184,31849170.6346636,
01/2015,328689,,,,
02/2015,337733,,,,
03/2015,341638,127256834.184357,6970126.53364477,33146668.0485813,40199572.0904544
04/2015,351869,,,,
05/2015,352479,,,,
06/2015,356001,,6712938.47052505,32435433.613129,
07/2015,353460,,,,
08/2015,351437,,,,
09/2015,350288,,6871006.10615785,33558844.2395621,
10/2015,354176,,,,
11/2015,350247,,,,
12/2015,350381,,6773773.58371146,34766324.6845404,
01/2016,349609,,,,
02/2016,348418,,,,
03/2016,360177,140251775.861913,6928756.05959399,36958136.2513326,42822594.7195445
04/2016,363049,,,,
05/2016,361605,,,,
06/2016,363506,,7047949.03441702,36341678.7878498,
07/2016,366503.97,,,,
08/2016,366800.01,,,,
09/2016,371990.27,,7208861.66821232,37500412.2288066,
10/2016,366211.64,,,,
11/2016,361121.04,,,,
12/2016,358898.22,,7433293.20280993,38651615.0610981,
01/2017,362952.63,,,,
02/2017,364259.09,,,,
03/2017,369954.69,155654240,7797617.15985518,41130154.0649328,46484213.0060859
04/2017,373301.79,,,,
05/2017,380100.46,,,,
06/2017,386539.37,,7640613.894248,40229876.3843368,
07/2017,393655.23,,,,
08/2017,397822.05,,,,
09/2017,400205.33,,7929604.52688634,41760311.5514474,
10/2017,399224.73,,,,
11/2017,401941.95,,,,
12/2017,409072.2,,8214069.82173307,43105297.6547705,
01/2018,422366.51,,,,
02/2018,420962.79,,,,
03/2018,424544.87,173159330,8321177.47154436,45854562.5926621,52160216.6368935
04/2018,420516.97,,,,
05/2018,412372.96,,,,
06/2018,405740.23,,8777502.55488875,45314384.4262228,
07/2018,403674.78,,,,
08/2018,400101.86,,,,
09/2018,400525.07,,9326688.8566041,46741988.7937652,
10/2018,392084.79,,,,
11/2018,393717.99,,,,
12/2018,395591.01,,9654470.38467786,47857115.7668309,
01/2019,400190.14,,,,
02/2019,402362.45,,,,
03/2019,412870.87,192817450,,,
04/2019,418687,,,,
