,Visitor Arrivals,Gross National Income,Real Average Earnings,Return on Assets - ROA,Entrepreneur Confidence Indicator (ECI)
Region,Brazil,Brazil,Brazil,Brazil,Brazil
Subnational,,,,,
Frequency,Monthly,"Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly
Unit,Person th,BRL mn,BRL,%,Point
Source,Ministry of Tourism,Brazilian Institute of Geography and Statistics,Central Bank of Brazil,Central Bank of Brazil,National Confederation of Industry
Status,Active,Active,Active,Active,Active
Series ID,284477901,366672387,376266557 (BRGKABKAAAAAEQ),285269804 (BRKZCAAAATAAQD),322567202 (BRSAAMHAAAAAAD)
SR Code,SR4288133,SR88049177,SR98321377,SR125863127,SR125617997
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,01/1989,12/2000,02/2012,01/2001,01/2009
Last Obs. Date,12/2017,12/2018,02/2019,12/2018,04/2019
Last Update Time,15/08/2018,28/02/2019,30/04/2019,17/04/2019,22/04/2019
Series remarks,"According Ministry of Tourism, the monthly Visitor Arrivals will release in annual basis due to Tourism Ministry receive once in the year some input data from the Federal Policy, based on these data they perform the estimation for all the months in the year",,Based on Continuous National Household Sample Survey,"This indicator comprises information from Consolidated Bank I and II. Consolidated Banking I is the sum of the accounting positions of Banking Conglomerate I and Independent Banking Institutions I. Independent Banking Institutions I are Financial Institutions such as Commercial Bank, Multiple Bank with Commercial Portfolio or Savings Bank that are not part of a conglomerate; the Bank Conglomerates I are Conglomerates composed of at least one institution of the Commercial Bank type or Multiple Bank with Commercial Portfolio. Consolidated Banking II is the sum of the accounting positions of Banking Conglomerate II and Independent Banking Institutions II. The Independent Banking Institutions II are Financial Institutions of the type Multiple Bank without Commercial Portfolio and Investment Bank, that do not integrate conglomerate; Bank Conglomerates II may not contain Commercial Banking and Multiple Bank Commercial Portfolio institutions, and are composed of at least one institution of the Multiple Bank type without a Commercial Portfolio or Investment Bank.","Note: Started January 2012, the Entrepreneur Confidence Indicator recalculated based on the 2.0 version of the National Classification of Economic Activity (Classificação Nacional de Atividades Econômicas, CNAE 2.0)The results by company size are being developed in accordance with the definition of Eurostat. The new definition, small enterprises are considered with 10-49 employess, the medium enterprises are considered with 50-250 employees and large enterprises are considered with 250 or more employess."
Suggestions,,,,,
Mean,350.646554597701,3667876.92408373,2282.141176470588,1.6811111111111103,53.55161290322581
Variance,37821.42905363681,3654190731216.828,12215.336974789914,0.34871596899224805,67.32251770259636
Standard Deviation,194.47732272333658,1911593.7673095788,110.5230155885638,0.5905217768992503,8.205030024478665
Skewness,0.7777419275115315,0.24204138783494242,1.3401251649438468,-0.8199037203110376,-0.6049884381362973
Kurtosis,0.9436418706824821,-1.464872071982139,1.126316525086898,1.7234125263920004,-0.19010785184439083
Coefficient Variation,0.5546249354894179,0.5211717314607313,0.04842952606441795,0.3512687370848153,0.15321723435867635
Min,44.946,1164560.42983344,2134,-0.28,35
Max,1107.628,6723718.94830914,2596,2.76,68.5
Median,339.872,3259287.60056877,2256,1.66,54.7
No. of Obs,348,19,85,216,124
01/1989,291.566,,,,
02/1989,197.348,,,,
03/1989,149.001,,,,
04/1989,84.867,,,,
05/1989,69.293,,,,
06/1989,66.838,,,,
07/1989,87.054,,,,
08/1989,81.535,,,,
09/1989,62.629,,,,
10/1989,85.786,,,,
11/1989,102.207,,,,
12/1989,124.758,,,,
01/1990,159.677,,,,
02/1990,143.171,,,,
03/1990,82.008,,,,
04/1990,76.761,,,,
05/1990,59.93,,,,
06/1990,44.946,,,,
07/1990,92.569,,,,
08/1990,75.26,,,,
09/1990,69.36,,,,
10/1990,89.545,,,,
11/1990,88.378,,,,
12/1990,109.46,,,,
01/1991,209.59,,,,
02/1991,119.275,,,,
03/1991,106.269,,,,
04/1991,78.601,,,,
05/1991,64.016,,,,
06/1991,62.497,,,,
07/1991,93.996,,,,
08/1991,72.58,,,,
09/1991,60.951,,,,
10/1991,96.047,,,,
11/1991,104.092,,,,
12/1991,123.984,,,,
01/1992,276.049,,,,
02/1992,192.628,,,,
03/1992,100.415,,,,
04/1992,109.479,,,,
05/1992,80.243,,,,
06/1992,79.662,,,,
07/1992,115.683,,,,
08/1992,93.824,,,,
09/1992,81.56,,,,
10/1992,100.713,,,,
11/1992,110.511,,,,
12/1992,134.091,,,,
01/1993,323.515,,,,
02/1993,256.369,,,,
03/1993,142.835,,,,
04/1993,108.956,,,,
