,LEAP - 4026 (Parent Series),daily series test 1,International Reserves,Testing 9.7 (f),QC Team Testing: Case: 985.11
Region,Test,Test,Chile,Test,Test
Subnational,,,,,
Frequency,"Daily, ""5 observation""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""5 observation"""
Unit,%,Person,USD mn,Unit,NA
Source,CDM_Stress_Test_STP_QA_Akshata,test22_10,Central Bank of Chile,Test AC 9.7,QC_Test (Full Scale)
Status,Active,Active,Active,Active,Active
Series ID,366946997 (CDCC),352636197,114157808,383129097,379564047
SR Code,SR88307687,SR88086077,SR1393378,SR101306137,SR108100567
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,02/02/2015,01/12/2013,31/12/1995,28/10/2016,13/01/2003
Last Obs. Date,27/03/2015,18/12/2013,07/05/2019,06/12/2016,26/08/2016
Last Update Time,27/03/2015,12/02/2016,15/05/2019,10/10/2018,26/08/2016
Series remarks,,this is my remark,,,
Suggestions,,,,,
Mean,28.94736842105263,488.2352941176471,24942.6036813832,1,240.56016222247746
Variance,193.45661450924618,148602.9411764706,113909196.14650339,0,2449.7671962195514
Standard Deviation,13.908868196558847,385.4905202160886,10672.825124890944,0,49.49512295387851
Skewness,0.070486839260243,0.3238963713884121,0.46977609183103497,,1.1280411828148664
Kurtosis,-1.237663412423796,-1.5862267566112473,-1.5950641186070682,,-0.10684033055952558
Coefficient Variation,0.48048817406294203,0.7895588968281334,0.42789538980074426,0,0.20574945783460144
Min,10,100,13042.86644,1,193.64261168
Max,50,1000,42350.6,1,389.2233677
Median,30,500,17897.6,1,218.9347079
No. of Obs,38,17,1122,40,3469
31/12/1995,,,15223.789,,
07/01/1996,,,15280.41406,,
15/01/1996,,,14323.14271,,
23/01/1996,,,14231.47135,,
31/01/1996,,,13898.5,,
07/02/1996,,,13540.94483,,
15/02/1996,,,13818.21034,,
23/02/1996,,,13807.27586,,
29/02/1996,,,13897.8,,
07/03/1996,,,13961.03871,,
15/03/1996,,,14076.32581,,
23/03/1996,,,14063.6129,,
31/03/1996,,,14547.1,,
07/04/1996,,,14317.81333,,
15/04/1996,,,14688,,
23/04/1996,,,14832.08667,,
30/04/1996,,,14721.8,,
07/05/1996,,,14501.42581,,
15/05/1996,,,14587.88387,,
23/05/1996,,,14649.94194,,
31/05/1996,,,14720.8,,
07/06/1996,,,14775.94493,,
15/06/1996,,,15029.982,,
23/06/1996,,,15063.21907,,
30/06/1996,,,15102.764,,
07/07/1996,,,15149.45277,,
15/07/1996,,,15115.96852,,
23/07/1996,,,15338.48426,,
31/07/1996,,,15603.5,,
07/08/1996,,,15470.38387,,
15/08/1996,,,15613.32258,,
23/08/1996,,,15627.26129,,
31/08/1996,,,15544,,
07/09/1996,,,15650.1971,,
15/09/1996,,,15513.3795,,
23/09/1996,,,15653.3619,,
30/09/1996,,,15479.159,,
07/10/1996,,,15731.69084,,
15/10/1996,,,15433.12723,,
23/10/1996,,,15442.76361,,
31/10/1996,,,15453.26255,,
07/11/1996,,,15630.46333,,
15/11/1996,,,15691.35,,
23/11/1996,,,15758.03667,,
30/11/1996,,,15567.3,,
07/12/1996,,,15829.08184,,
15/12/1996,,,15936.71823,,
23/12/1996,,,16101.55461,,
31/12/1996,,,15804.825,,
07/01/1997,,,15854.00023785,,
15/01/1997,,,16005.33937,,
23/01/1997,,,16484.0785,,
31/01/1997,,,15937.61762,,
07/02/1997,,,16101.35348,,
15/02/1997,,,16173.06588,,
23/02/1997,,,16423.07829,,
28/02/1997,,,16539.06104,,
07/03/1997,,,16413.01293,,
15/03/1997,,,16683.37222,,
23/03/1997,,,16708.73152,,
31/03/1997,,,16909.19081,,
07/04/1997,,,16830.92297,,
15/04/1997,,,17042.15972,,
23/04/1997,,,17064.49647,,
30/04/1997,,,16950.42862,,
07/05/1997,,,17010.75721,,
15/05/1997,,,17125.04702,,
23/05/1997,,,17350.23683,,
31/05/1997,,,17329.82664,,
07/06/1997,,,17534.02446,,
15/06/1997,,,17767.37911,,
23/06/1997,,,17583.73376,,
30/06/1997,,,17872.33157,,
07/07/1997,,,17911.1847,,
15/07/1997,,,17865.47399,,
23/07/1997,,,18126.06328,,
31/07/1997,,,17821.55257,,
07/08/1997,,,17902.79792,,
15/08/1997,,,17939.87833,,
23/08/1997,,,18144.25873,,
31/08/1997,,,18389.73914,,
07/09/1997,,,18343.49391,,
15/09/1997,,,18475.22794,,
23/09/1997,,,17415.36197,,
30/09/1997,,,18443.31674,,
07/10/1997,,,18712.25978,,
15/10/1997,,,18974.79467,,
23/10/1997,,,19123.82956,,
31/10/1997,,,19234.16446,,
07/11/1997,,,19217.92782,,
15/11/1997,,,19390.80023,,
23/11/1997,,,19368.67264,,
30/11/1997,,,19230.26501,,
07/12/1997,,,19245.67377,,
15/12/1997,,,18934.81694,,
23/12/1997,,,18645.7601,,
31/12/1997,,,18273.60327,,
07/01/1998,,,18338.95378666,,
15/01/1998,,,17703.81152,,
23/01/1998,,,17157.66926,,
31/01/1998,,,17152.54438,,
07/02/1998,,,16908.56925,,
15/02/1998,,,17466.23182,,
23/02/1998,,,17474.59439,,
28/02/1998,,,17362.096,,
07/03/1998,,,17332.05403,,
15/03/1998,,,17394.92035,,
23/03/1998,,,17318.48668,,
31/03/1998,,,17274.653,,
07/04/1998,,,17366.0557,,
15/04/1998,,,17179.2445,,
23/04/1998,,,17056.1333,,
30/04/1998,,,17276.636,,
07/05/1998,,,17234.73784,,
