,Non Performing Loans Ratio,Population,Construction Cost Index,Resident Population,Return on Assets
Region,Bahrain,Greece,Switzerland,Macau SAR,Spain
Subnational,,,,,
Frequency,"Half-yearly ending ""Sep, Mar""","Half-yearly ending ""Jun, Dec""","Half-yearly ending ""Oct, Apr""","Half-yearly ending ""Jun, Dec""","Half-yearly ending ""Jun, Dec"""
Unit,%,Person,Oct2015=100,Person,%
Source,Central Bank of Bahrain,Hellenic Statistical Authority,Swiss Federal Statistical Office,Statistics and Census Service,Bank of Spain
Status,Active,Active,Active,Active,Active
Series ID,401475337,136583008,377148287,130698301 (MOGJAAAA),299131904
SR Code,SR114100497,SR2238709,SR100028657,SR1581722,SR6942118
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,03/2013,06/1981,10/1998,12/2001,12/2004
Last Obs. Date,03/2018,12/2017,10/2018,12/2018,12/2018
Last Update Time,14/10/2018,31/12/2018,20/12/2018,20/03/2019,08/05/2019
Series remarks,,,,,
Suggestions,,,,,
Mean,4.672727272727273,10606887.581081081,92.96097560975612,546731.9428571429,0.533448275862069
Variance,0.8481818181818186,196724131444.93164,49.66293902439023,4929621268.643698,0.1971019704433497
Standard Deviation,0.9209678703308919,443535.9415480685,7.047193698515049,70211.26169386004,0.4439616767732883
Skewness,-0.011079261815031861,-0.6598762877291374,-0.5443984358020765,-0.027004526985601178,-2.105330201881363
Kurtosis,-1.9184596244180003,-1.0793926524362418,-1.2443248919485814,-1.0406450235600877,7.465378909848917
Coefficient Variation,0.19709429131594963,0.041815842598273506,0.07580808669756965,0.12841990048532018,0.832248779988711
Min,3.5,9729350,78.5,436300,-1.19
Max,5.9,11123392,100.4,653100,1.11
Median,4.7,10780139.5,96.6,548200,0.54
No. of Obs,11,74,41,35,29
06/1981,,9729350,,,
12/1981,,9760200,,,
06/1982,,9789513,,,
12/1982,,9821100,,,
06/1983,,9846627,,,
12/1983,,9872100,,,
06/1984,,9895801,,,
12/1984,,9919500,,,
06/1985,,9934294,,,
12/1985,,9949100,,,
06/1986,,9967264,,,
12/1986,,9985326,,,
06/1987,,10000644,,,
12/1987,,10015863,,,
06/1988,,10037037,,,
12/1988,,10058103,,,
06/1989,,10089550,,,
12/1989,,10120892,,,
06/1990,,10160551,,,
12/1990,,10192911,,,
06/1991,,10256282,,,
12/1991,,10319672,,,
06/1992,,10369828,,,
12/1992,,10420059,,,
06/1993,,10465534,,,
12/1993,,10510996,,,
06/1994,,10553032,,,
12/1994,,10595074,,,
06/1995,,10634391,,,
12/1995,,10673696,,,
06/1996,,10709150,,,
12/1996,,10744649,,,
06/1997,,10776531,,,
12/1997,,10808358,,,
06/1998,,10834910,,,
10/1998,,,78.5,,
12/1998,,10861402,,,
04/1999,,,79.3,,
06/1999,,10882607,,,
10/1999,,,81.4,,
12/1999,,10903757,,,
04/2000,,,82.9,,
06/2000,,10917457,,,
10/2000,,,84.8,,
12/2000,,10835989,,,
04/2001,,,86.8,,
06/2001,,10862146,,,
10/2001,,,86.7,,
12/2001,,10888274,,436300,
04/2002,,,86.1,,
06/2002,,10902005,,438408,
10/2002,,,85.3,,
12/2002,,10915770,,440515,
04/2003,,,84.4,,
06/2003,,10928091,,443600,
10/2003,,,84.6,,
12/2003,,10940369,,446684,
04/2004,,,85,,
06/2004,,10955163,,454661,
10/2004,,,86.7,,
12/2004,,10969912,,462637,0.83
04/2005,,,87.2,,
06/2005,,10987352,,473457,0.88
10/2005,,,88.4,,
12/2005,,11004716,,484277,0.89
04/2006,,,89.4,,
06/2006,,11020393,,498852,1.02
10/2006,,,91.6,,
12/2006,,11036008,,513427,1.03
04/2007,,,93.3,,
06/2007,,11048499,,525700,1.11
10/2007,,,95,,
12/2007,,11060937,,538100,1.05
04/2008,,,96.8,,
06/2008,,11077863,,551900,0.98
10/2008,,,98.5,,
12/2008,,11094745,,549200,0.73
04/2009,,,96.5,,
06/2009,,11107024,,544100,0.71
10/2009,,,96.6,,
12/2009,,11119289,,542100,0.54
04/2010,,,96.6,,
06/2010,,11121383,,544500,0.57
10/2010,,,97.4,,
12/2010,,11123392,,552300,0.47
04/2011,,,98.8,,
06/2011,,11104995,,549600,0.44
10/2011,,,99.4,,
12/2011,,11086406,,557300,0.08
04/2012,,,99.4,,
06/2012,,11045039,,567900,-0.17
10/2012,,,99.7,,
12/2012,,11003615,,582000,-1.19
03/2013,4.7,,,,
04/2013,,,99.9,,
06/2013,,10965241,,591900,0.45
09/2013,4.2,,,,
10/2013,,,100.4,,
12/2013,,10926807,,607500,0.38
03/2014,3.8,,,,
04/2014,,,100.3,,
06/2014,,10892369,,621700,0.47
09/2014,3.8,,,,
10/2014,,,100.1,,
12/2014,,10858018,,636200,0.45
03/2015,3.5,,,,
04/2015,,,99.5,,
06/2015,,10820964,,642900,0.59
09/2015,3.6,,,,
10/2015,,,100,,
12/2015,,10783748,,646800,0.38
03/2016,5.2,,,,
04/2016,,,99.5,,
06/2016,,10775989,,652500,0.42
09/2016,5.5,,,,
10/2016,,,99,,
12/2016,,10768193,,644900,0.3
03/2017,5.9,,,,
04/2017,,,98.6,,
06/2017,,10754701,,648400,0.5
09/2017,5.7,,,,
10/2017,,,98.7,,
12/2017,,10741165,,653100,0.44
03/2018,5.5,,,,
04/2018,,,99,,
06/2018,,,,544000,0.57
10/2018,,,99.3,,
12/2018,,,,548200,0.55
