,QC Team Testing: Case: 975.22,QC Team Testing: Case: 985.26,QC Team Testing: Case: 995.20,QC Team Testing: Case: 995.13,QC Team Testing: Case: 1001.18
Region,Test,Test,Test,Test,Test
Subnational,,,,,
Frequency,Weekly beginning at Wednesday,Weekly beginning at Thursday,Weekly beginning at Saturday,Weekly beginning at Saturday,Weekly beginning at Wednesday
Unit,NA,NA,NA,NA,NA
Source,QC_Test (Full Scale),QC_Test (Full Scale),QC_Test (Full Scale),QC_Test (Full Scale),QC_Test (Full Scale)
Status,Active,Active,Active,Active,Active
Series ID,379559617,379564097,379568457,379568527,379572277
SR Code,SR108097557,SR108100617,SR108103377,SR108103447,SR108082737
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,29/12/1999,09/01/2003,02/07/2005,02/04/2005,16/05/2012
Last Obs. Date,24/08/2016,25/08/2016,20/08/2016,20/08/2016,17/08/2016
Last Update Time,25/08/2016,26/08/2016,22/08/2016,22/08/2016,23/08/2016
Series remarks,,,,,
Suggestions,,,,,
Mean,33.49770750036782,210.84972638167164,4.098780756013746,8.933016806722696,4373.657214611874
Variance,1407.9426670785954,1056.8291955996442,0.17034635494744826,1.3366552182692486,1627893.060511014
Standard Deviation,37.5225621070656,32.50890948032007,0.4127303659139321,1.156138061941241,1275.8891254772157
Skewness,3.0151356489073082,0.921236806567777,-0.7714958202737936,-0.07515007691039645,-1.196060876324382
Kurtosis,12.42412758854529,-0.2922147399741961,-0.9468647124474496,-1.0239787737892523,0.673813962313794
Coefficient Variation,1.1201531360512833,0.1541804679484087,0.100695887504686,0.1294230254969597,0.29172133591416816
Min,0,156.56434528,3.113,6.5552,858.23
Max,292.82380851,286.97408159,4.624,11.1699,5942.43
Median,22.197924595,200.70993914500002,4.27175,8.8604,4756.96
No. of Obs,870,712,582,595,219
29/12/1999,101.1584068,,,,
05/01/2000,57.09741864,,,,
12/01/2000,39.24243964,,,,
19/01/2000,29.56730026,,,,
26/01/2000,29.03780401,,,,
02/02/2000,41.43444497,,,,
09/02/2000,54.69809732,,,,
16/02/2000,45.78704859,,,,
23/02/2000,26.91082453,,,,
01/03/2000,36.64125801,,,,
08/03/2000,18.14899614,,,,
15/03/2000,20.75047267,,,,
22/03/2000,16.10974995,,,,
29/03/2000,25.80862893,,,,
05/04/2000,14.40683931,,,,
12/04/2000,12.26364023,,,,
19/04/2000,16.22549892,,,,
26/04/2000,23.16527634,,,,
03/05/2000,11.04510585,,,,
10/05/2000,13.12239437,,,,
17/05/2000,14.25201585,,,,
24/05/2000,19.42606853,,,,
31/05/2000,18.67805003,,,,
07/06/2000,6.75074534,,,,
14/06/2000,5.4981498,,,,
21/06/2000,11.20671206,,,,
28/06/2000,7.93536601,,,,
05/07/2000,3.04250222,,,,
12/07/2000,4.53529531,,,,
19/07/2000,7.02456169,,,,
26/07/2000,6.13336835,,,,
02/08/2000,15.85259555,,,,
09/08/2000,9.1565545,,,,
16/08/2000,8.85486993,,,,
23/08/2000,5.2325907,,,,
30/08/2000,58.14608957,,,,
06/09/2000,49.76188297,,,,
13/09/2000,13.22000688,,,,
20/09/2000,37.47214393,,,,
27/09/2000,36.54158119,,,,
04/10/2000,7.55346813,,,,
