,New Apartments for Sale: ow Unreserved: Region: New Aquitaine,New Apartment Sold: Average Sales Price: Region: Corsica,New Houses for Sale: Region: Auvergne-Rhone Alps,Business Sales: PT: Photographic,Business Sales: RL: Personal and Household Goods Rental and Leasing
Region,France,France,France,Taiwan,Taiwan
Subnational,,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,Unit,EUR/sq m,Unit,NTD mn,NTD mn
Source,"Ministry of Ecology, Sustainable Development and Energy","Ministry of Ecology, Sustainable Development and Energy","Ministry of Ecology, Sustainable Development and Energy",Ministry of Economic Affairs,Ministry of Economic Affairs
Status,Active,Active,Active,Active,Active
Series ID,389537337 (FREAIPAAAAAASR),389537457 (FREAIPAAAAAATD),389534487 (FREAIPAAAAAAUE),414262097 (WHMBACCD),414262017 (WHMBACAC)
SR Code,SR107320727,SR107320917,SR107320667,SR126196227,SR126196147
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,03/2005,12/2001,03/2005,03/2001,03/2001
Last Obs. Date,03/2019,03/2019,03/2019,03/2019,03/2019
Last Update Time,15/05/2019,15/05/2019,15/05/2019,15/05/2019,20/05/2019
Series remarks,,,,,
Suggestions,,,,,
Mean,1874.122807017544,2957.2158051128577,1418.719298245614,2577.6148630136972,1809.9757534246573
Variance,513652.6810776942,389352.04747761675,91515.56265664162,248980.91989614762,83243.00889132725
Standard Deviation,716.6956683821203,623.9808069785614,302.51539242928055,498.97987924980265,288.5186456562682
Skewness,1.1610419378522652,-0.8027777403306993,0.10838152699449957,-0.23794699770963795,0.02335907133419015
Kurtosis,2.9317901580184067,-0.38907511439962494,-0.3783106949164714,-0.6274992592718478,-0.858795059996103
Coefficient Variation,0.38241659815381096,0.21100279725941345,0.21323132264667902,0.1935820150673732,0.15940470203004747
Min,370,1597,891,1527.81,1330.175
Max,4548,4000.28381096,2019,3452.477,2509.404
Median,1762,3148.20177463,1463,2631.67,1806.592
No. of Obs,57,70,57,73,73
03/2001,,,,1935.634,1956.755
06/2001,,,,1990.985,1865.504
09/2001,,,,1723.364,1635.997
12/2001,,1619,,1752.138,1751.899
03/2002,,1597,,1527.81,1435.262
06/2002,,1763,,1792.205,1668.631
09/2002,,1675,,1788.36,1797.04
12/2002,,1868,,1816.799,1884.635
03/2003,,1908,,1740.357,1783.953
06/2003,,2234,,1655.576,1693.558
09/2003,,1704,,1972.519,2034.328
12/2003,,2092,,2147.452,2132.274
03/2004,,2013,,1637.919,1903.849
06/2004,,2018,,1938.533,2036.596
09/2004,,2401,,2341.889,2195.76
12/2004,,2613,,2539.741,2509.404
03/2005,3248,1668.72686415,932,1931.506,2052.204
06/2005,4548,2339.76682758,891,2417.899,1998.533
09/2005,2505,2237.01432541,929,2426.395,2092.699
12/2005,2727,3100.45996527,964,2565.035,2104.262
03/2006,2038,2617.61699245,1066,2205.382,2210.227
06/2006,1984,2573.52542944,1174,2505.599,2182.262
09/2006,3743,2685.28167892,1353,2538.611,2190.891
