,CN: GDP: TI: Financial Intermediation,Population: Urban,Govt Revenue,Fixed Assets Investment: ytd: State Owned & Holding Enterprises,Valuables: 2011-12p
Region,China,China,China,China,India
Subnational,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,RMB bn,Person mn,RMB mn,RMB mn,INR mn
Source,National Bureau of Statistics,National Bureau of Statistics,Ministry of Finance,National Bureau of Statistics,Central Statistics Office
Status,Active,Active,Active,Active,Active
Series ID,1748301 (CAABAL),4943101 (CGGD),4314701 (CFFA),7873001 (COBDJV),365384457 (IAZDHAAAAAADUI)
SR Code,SR819326,SR56267,SR355373,SR601444,SR87501157
Mnemonic,,,,,IN.GDPGCFAQV.RL.INR-MN-Q
Function Information,,,,,
First Obs. Date,12/1952,12/1949,12/1950,01/2004,06/2011
Last Obs. Date,12/2018,12/2018,12/2018,12/2017,12/2018
Last Update Time,23/01/2019,21/01/2019,06/03/2019,22/01/2018,22/03/2019
Series remarks,,,,,
Suggestions,,,,,
Mean,846.1338039298511,316.2383861571428,2443512.0144927534,5255781.285952381,490471.56582978636
Variance,2955591.8446484217,52388.17055467738,22764322034503.18,26210047664679.043,11991374728.493876
Standard Deviation,1719.183481961254,228.88462280082814,4771197.128028057,5119574.94961047,109505.13562611515
Skewness,2.396181071955734,0.8499490604272127,2.1753504113630693,1.3606727494861355,0.44621410330183886
Kurtosis,4.844215961004648,-0.5623047759404285,3.581361043259167,1.3366847337239167,-1.0401340119956828
Coefficient Variation,2.03181042286284,0.7237724223873712,1.952598186433925,0.9740844740427151,0.22326500301980381
Min,1.17,57.65,6217,199922,323988.64817071
Max,6909.99,831.37,18335184,23288721,697691.07581519
Median,29.38203714,231.45499999999998,164286,3351049.275,461866.98808691
No. of Obs,67,70,69,168,31
12/1949,,57.65,,,
12/1950,,61.69,6217,,
12/1951,,66.32,12496,,
12/1952,1.17,71.63,17394,,
12/1953,1.19,78.26,21324,,
12/1954,1.18,82.49,24517,,
12/1955,1.38,82.85,24927,,
12/1956,1.41,91.85,28019,,
12/1957,1.61,99.49,30320,,
12/1958,2.42,107.21,37962,,
12/1959,3.81,123.71,48712,,
12/1960,6.16,130.73,57229,,
12/1961,6.12,127.07,35606,,
12/1962,4.84,116.59,31355,,
12/1963,3.68,116.46,34225,,
12/1964,5.91,129.5,39954,,
12/1965,8.52,130.45,47332,,
12/1966,3.58,133.13,55871,,
12/1967,4.15,135.48,41936,,
12/1968,4.83,138.38,36125,,
12/1969,5.4,141.17,52676,,
12/1970,5.67,144.24,66290,,
12/1971,6.53,147.11,74473,,
12/1972,5.28,149.35,76656,,
12/1973,5.27,153.45,80967,,
12/1974,5.65,155.95,78314,,
12/1975,6.12,160.3,81561,,
12/1976,6.22,163.41,77658,,
12/1977,6.88,166.69,87446,,
12/1978,7.65365381,172.45,113226,,
12/1979,7.58809064,184.95,114638,,
12/1980,8.57452843,191.4,115993,,
12/1981,9.16374943,201.71,117579,,
12/1982,13.05954601,214.8,121233,,
12/1983,16.88821175,222.74,136695,,
12/1984,23.04795965,240.17,164286,,
12/1985,29.38203714,250.94,200482,,
12/1986,40.10338984,263.66,212201,,
12/1987,50.5972665,276.74,219935,,
12/1988,65.86164308,286.61,235724,,
12/1989,107.9601751,295.4,266490,,
12/1990,114.370978,301.95,293710,,
12/1991,119.47106409,312.03,314948,,
12/1992,148.15030442,321.75,348337,,
12/1993,190.25620432,331.73,434895,,
12/1994,255.64664951,341.69,521810,,
12/1995,320.9648927,351.74,624220,,
12/1996,369.82455959,373.04,740799,,
12/1997,417.60703484,394.49,865114,,
12/1998,431.42503089,416.08,987595,,
12/1999,448.48299267,437.48,1144408,,
12/2000,483.61490089,459.06,1339523,,
12/2001,519.53,480.64,1638604,,
12/2002,554.66,502.12,1890364,,
12/2003,603.47,523.757031,2171525,,
01/2004,,,,199922,
02/2004,,,,199922,
