,Avg Annual Wage,Production of Primary Energy,Foreign Exchange Income from Tourism,Government Expenditure,Money Supply M1
Region,China,China,China,China,China
Subnational,,,,,
Frequency,"Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly
Unit,RMB,SCE Ton mn,USD mn,RMB bn,RMB bn
Source,National Bureau of Statistics,National Bureau of Statistics,Ministry of Culture and Tourism,Ministry of Finance,The People's Bank of China
Status,Active,Active,Active,Active,Active
Series ID,4950701 (CGLA),3658001 (CBGA),8442901 (CQJA),4332701 (CFPAB),7027501 (CKSAAB)
SR Code,SR19466,SR72390,SR619870,SR353859,SR21279
Mnemonic,,CN.NGSUP.VO.MN-M,,,
Function Information,,,,,
First Obs. Date,12/1952,01/1986,01/1995,01/1995,01/1997
Last Obs. Date,12/2018,02/2010,12/2017,04/2019,04/2019
Last Update Time,14/05/2019,06/08/2014,02/04/2019,09/05/2019,14/05/2019
Series remarks,,,,,
Suggestions,,,,,
Mean,11684.462686567163,112.65153034482759,3376.949160583941,643.9384137931037,20580.52104382332
Variance,409817936.2826776,2024.0803719784547,7901872.47502677,438079.134885946,255977714.2033653
Standard Deviation,20243.960489061363,44.98978075050438,2811.026943134265,661.8754678079148,15999.303553697746
Skewness,2.077056439943465,1.5444128892872002,1.540123065021555,1.267722848508659,0.7307659840923169
Kurtosis,3.4548360703391854,1.6728364366494817,1.4035060910085568,0.9305507828788331,-0.6702450232528219
Coefficient Variation,1.732553822293812,0.3993712345743565,0.8324161275345296,1.0278552321628918,0.7774003155522391
Min,445,54.94,565.15,29.006,2962.9
Max,82461,278.1534,11347,2915.513,55168.59075487
Median,1148,95.8654,2669.87,344.625,15212.7495
No. of Obs,67,290,274,290,268
12/1952,445,,,,
12/1953,495,,,,
12/1954,517,,,,
12/1955,527,,,,
12/1956,601,,,,
12/1957,624,,,,
12/1958,536,,,,
12/1959,512,,,,
12/1960,511,,,,
12/1961,510,,,,
12/1962,551,,,,
12/1963,576,,,,
12/1964,586,,,,
12/1965,590,,,,
12/1966,583,,,,
12/1967,587,,,,
12/1968,577,,,,
12/1969,575,,,,
12/1970,561,,,,
12/1971,560,,,,
12/1972,588,,,,
12/1973,587,,,,
12/1974,584,,,,
12/1975,580,,,,
12/1976,575,,,,
12/1977,576,,,,
12/1978,615,,,,
12/1979,668,,,,
12/1980,762,,,,
12/1981,772,,,,
12/1982,798,,,,
12/1983,826,,,,
12/1984,974,,,,
12/1985,1148,,,,
01/1986,,66.51,,,
02/1986,,54.94,,,
03/1986,,70.91,,,
04/1986,,70.16,,,
05/1986,,74.72,,,
06/1986,,75.47,,,
07/1986,,72.4,,,
08/1986,,73.85,,,
09/1986,,72.88,,,
10/1986,,74.07,,,
11/1986,,75.94,,,
12/1986,1329,80.49,,,
01/1987,,66.91,,,
02/1987,,59.96,,,
