,CN: GDP: Anhui: Chaohu,CN: (DC)GDP: TI: Scientific Research and Ploytechnic Services,(DC)Base Lending Rate: Working Capital: 1 Year,"(DC)FAI: ytd: Growth: SI: Mfg: Garment, Footwear & Headgear Mfg","(DC)FAI: ytd: SI: Mfg: Instructment, Meter, Cultural & Office Machin"
Region,China,China,China,China,China
Subnational,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly
Unit,RMB bn,RMB bn,% pa,%,RMB mn
Source,National Bureau of Statistics,National Bureau of Statistics,The People's Bank of China,National Bureau of Statistics,National Bureau of Statistics
Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,146392301 (CAAHGB),1748801 (CAABAQ),7052801 (CMABB),7892501 (COBDRK),7883801 (COBDOB)
SR Code,SR1927130,SR819331,SR37056,SR158155,SR782354
Mnemonic,,,,,
Function Information,,,,,
First Obs. Date,12/1991,12/1990,02/1989,01/2004,01/2004
Last Obs. Date,12/2010,12/2003,10/2014,12/2011,12/2011
Last Update Time,25/09/2018,07/12/2010,03/03/2015,28/03/2012,13/03/2012
Series remarks,,,,,
Suggestions,,305406101,,,"322639101,322639501"
Mean,31.279933846153845,41.132285714285715,7.452006472491923,36.878125000000004,20033.599479166667
Variance,272.85129099775895,732.2699691428572,4.797449857100828,505.5453059210526,460942407.3074135
Standard Deviation,16.51821088973497,27.06048723033008,2.1903081648710594,22.48433467819434,21469.569332136438
Skewness,0.30350536819888135,0.38478902662480585,0.756789775243906,1.87339094951014,1.8651626198490172
Kurtosis,0.20401660459869264,-1.1530840670515001,-0.9310070888669411,4.696483183388075,3.6372259891873315
Coefficient Variation,0.5280769125336893,0.6578892167164845,0.29392193538160316,0.6096930003408345,1.0716780753485196
Min,0.812,8.15,5.31,6,808
Max,62.97332,88.416,12.06,123.5,106399.14
Median,29.462,38.489999999999995,6.39,35.5,12631
No. of Obs,13,14,309,96,96
02/1989,,,11.34,,
03/1989,,,11.34,,
04/1989,,,11.34,,
05/1989,,,11.34,,
06/1989,,,11.34,,
07/1989,,,11.34,,
08/1989,,,11.34,,
09/1989,,,11.34,,
10/1989,,,11.34,,
11/1989,,,11.34,,
12/1989,,,11.34,,
01/1990,,,11.34,,
02/1990,,,11.34,,
03/1990,,,10.08,,
04/1990,,,10.08,,
05/1990,,,10.08,,
06/1990,,,10.08,,
07/1990,,,10.08,,
08/1990,,,9.36,,
09/1990,,,9.36,,
10/1990,,,9.36,,
11/1990,,,9.36,,
12/1990,,8.15,9.36,,
01/1991,,,9.36,,
02/1991,,,9.36,,
03/1991,,,9.36,,
04/1991,,,8.64,,
05/1991,,,8.64,,
06/1991,,,8.64,,
07/1991,,,8.64,,
08/1991,,,8.64,,
09/1991,,,8.64,,
10/1991,,,8.64,,
