,AF: Net Official Flows from UN Agencies: WHO,AF: Military Expenditure,AF: Military Expenditure as % of General Government Expenditure,AF: Arms Imports: SIPRI Trend Indicator Values (TIV),AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: European Commission,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Switzerland,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Germany,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Denmark,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Belgium,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Canada,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Japan,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Finland,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: United Kingdom,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Spain,AF: IMF Account: Fund Position: USD: Use of Fund Credit (UFC),AF: International Development Association: Resource Allocation Index: 1=Low To 6=High,AF: Net Official Flows from UN Agencies: UNHCR,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Iceland,AF: Net Official Flows from UN Agencies: UNICEF,AF: Net Official Flows from UN Agencies: FAO,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: United States,AF: Net Official Flows from UN Agencies: WFP,AF: Net Official Flows from UN Agencies: UNFPA,AF: Net Official Flows from UN Agencies: UNDP,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Norway,AF: Net Official Flows from UN Agencies: IFAD,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Luxembourg,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: France,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: New Zealand,AF: Net Official Development Assistance Received per Capita: Current Price,AF: Net Official Development Assistance Received: % of Gross Capital Formation,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Portugal,AF: Net Official Development Assistance Received: % of Central Government Expenditure,AF: Net Official Development Assistance Received: % of Gross National Income,"AF: Net Official Development Assistance Received: % of Imports of Goods, Services and Primary Income",AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Slovenia,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Slovak Republic,AF: Net Official Flows from UN Agencies: IAEA,AF: IMF Account: Fund Position: USD: Reserve Tranche Position,AF: IMF Account: Fund Position: SDR Holdings: % of Allocation,AF: IMF Account: Fund Position: Use of Fund Credit (UFC),AF: IMF Account: Fund Position: UFC: % of Quota,AF: IMF Account: Fund Position: Net Cumulative Allocation: Escrow Account,AF: IMF Account: Fund Position: USD: UFC: General Resources Account,AF: IMF Account: Fund Position: USD: Quota,AF: IMF Account: Fund Position: USD: Allocations of SDRs to Date,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Poland,AF: Net Official Development Assistance and Official Aid Received: Current Price,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Korea,AF: Net Official Development Assistance and Official Aid Received: 2016 Price,AF: IMF Account: Fund Position: USD: Overdue Obligations,"AF: IMF Account: Fund Position: UFC: Outstanding Loans: Structural Adj. Facility, Poverty Reduction and Growth Facility & Trust Fund","AF: IMF Account: Fund Position: USD: UFC: Outstanding Loans: Structural Adj. Facility, Poverty Reduction and Growth Facility & Trust Fund",AF: (DC)Military Expenditure as % of Central Government Expenditure,AF: (DC)Net Official Development Assistance and Official Aid Received: 2011 Price,AF: (DC)Net Official Flows from UN Agencies: UNPBF,AF: (DC)Net Official Development Assistance Received: 2011 Price,AF: (DC)Net Official Flows from UN Agencies: UNAIDS,AF: (DC)Net Official Development Assistance Received: 2014 Price,AF: (DC)Net Official Flows from UN Agencies: UNTA,AF: (DC)Arms Exports: SIPRI Trend Indicator Values (TIV),AF: (DC)Net Official Flows from UN Agencies: UNRWA,AF: (DC)Net Official Development Assistance Received: 2012 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2012 Price,AF: (DC)Net Official Development Assistance Received: 2013 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2008 Price,AF: (DC)Net Official Development Assistance Received: 2008 Price,AF: (DC)Net Official Development Assistance Received: 2009 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2009 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2013 Price,AF: IMF Account: Fund Position: USD: Net Cumulative Allocation: Escrow Account,AF: IMF Account: Fund Position: USD: Fund Holdings of Currency,"AF: Presence of Peace Keepers: Number of Troops, Police and Military Observers in Mandate",AF: Net Official Development Assistance Received: 2016 Price,AF: IMF Account: Fund Position: Overdue Obligations,AF: IMF Account: Fund Position: Fund Holdings of Currency,AF: IMF Account: Fund Position: Currency Holdings: % of Quota,AF: IMF Account: Fund Position: UFC: General Resources Account,AF: IMF Account: Fund Position: USD: Lending to the Fund,AF: Net Official Development Assistance Received: Current Price,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Netherlands,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Czech Republic,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Sweden,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Ireland,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Austria,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Australia,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Italy,AF: Net Bilateral Aid Flows from Development Assistance Committee Donors: Greece,AF: Military Expenditure as % of GDP,AF: Armed Forces Personnel: Total,AF: Armed Forces Personnel: % of Total Labour Force,AF: Military Expenditure,AF: Debt Forgiveness Grants,AF: International Development Association: Grants,AF: (DC)Net Official Development Assistance Received: 2010 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2010 Price,AF: (DC)Net Official Development Assistance and Official Aid Received: 2007 Price,AF: (DC)Net Official Development Assistance Received: 2007 Price,AF: Net Official Flows from UN Agencies: ILO
Region,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Mar"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Mar"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Mar"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,USD mn,USD mn,%,TIV,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,NA,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD,%,USD mn,%,%,%,USD mn,USD mn,USD mn,USD mn,% pa,XDR mn,% pa,XDR mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,XDR mn,USD mn,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,TIV,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,Number,USD mn,XDR mn,XDR mn,% pa,XDR mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,%,Person,%,AFN mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Active
Series ID,341369702,409029887,412760587,266502802,258336402,258355102,258373802,258392502,258299002,258317702,258542102,258429902,258467302,258411202,314851101,265281602,261110902,141519204,261092202,386832537,258692202,261204402,261148302,261129602,258598202,260791702,258560802,258448602,258616902,261590302,261523902,258635602,261607902,261540002,261574702,367142157,367139687,298529602,408779097,224227701,224237001,224237301,408714527,408671487,408669437,408705207,367137217,261459402,298476902,412755187,408530097,224231901,408450447,266593802,140808704,327302602,140857704,261076502,386829907,261185702,339281702,261167002,367149567,367144627,376148747,298555202,298579302,310098702,310126602,376143807,408483637,408493907,275948302,412780397,408626567,224235501,224235201,224232801,408814947,261506302,258579502,141494704,258673002,258654302,258504702,258280302,258261602,258523402,258486002,266576202,266522502,266541602,266560202,259779902,259391502,343716002,343740502,261478602,261557002,386835167
SR Code,SR5295714,SR118195797,SR125324467,SR6790221,SR5386981,SR5385925,SR5476092,SR7029368,SR5388165,SR5388550,SR5386612,SR5309929,SR5388852,SR5386944,SR104324807,SR7029237,SR5386766,SR5388245,SR5310197,SR105958157,SR7029433,SR5291886,SR5386275,SR7029365,SR5388313,SR7116536,SR5386491,SR5386040,SR5386620,SR7115553,SR5292815,SR5388535,SR5267444,SR5305984,SR5441983,SR5388849,SR7029362,SR5388681,SR118703677,SR104324827,SR104324757,SR104324847,SR118703637,SR118703697,SR118703667,SR118703657,SR7115687,SR5295521,SR7029479,SR125324487,SR118703737,SR104324777,SR118703707,SR5388891,SR5449276,SR5260779,SR5608513,SR5387959,SR105898457,SR5606517,SR5386370,SR7116246,SR7116580,SR5294389,SR5266737,SR5291977,SR5294724,SR5610959,SR5292828,SR5607562,SR118703727,SR118703717,SR5386127,SR125324477,SR118703647,SR104324787,SR104324837,SR104324767,SR118703687,SR7116548,SR5310385,SR5386690,SR5386422,SR7116638,SR5386970,SR5476118,SR5386295,SR5386455,SR7029328,SR5607396,SR7029422,SR5307724,SR5386428,SR5476468,SR5387907,SR5297016,SR7115850,SR5294635,SR7029499,SR105958167
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
