,AF: Import: Cost: Border Compliance,AF: Export: Cost: Border Compliance,AF: Export: Cost: Documentary Compliance,AF: Exports: Lead Time: Border Compliance,AF: Imports: Lead Time: Border Compliance,AF: Imports: Lead Time: Median Case,AF: Exports: Lead Time: Median Case,AF: Imports: % of Goods Imports: Manufactures,AF: Imports: High-Income Economies: % of Total Goods Imports,AF: Imports: Goods,AF: Imports: Goods by Reporting Economy,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: South Asia,AF: Imports: % of Goods Imports: Food,AF: Imports: % of Goods Imports: Fuel,AF: Imports: % of Goods Imports: Ores & Metals,AF: Exports: Goods,AF: Exports: High-Income Economies: % of Total Goods Exports,AF: Exports: Commercial Service,"AF: Exports: % of Commercial Service Exports: Services: Computer, Communication & Other Services",AF: Exports: Goods by Reporting Economy,AF: Exports: % of Goods Exports: Ores & Metals,AF: Exports: % of Goods Exports: Manufactures,AF: Exports: % of Commercial Service Exports: Services: Travel,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: South Asia,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Outside Region,AF: Imports: % of Total Goods Imports: Residual,AF: Goods Trade: % of GDP,AF: Exports: % of Goods Exports: Fuel,AF: Exports: % of Total Goods Exports: The Arab World,AO: Imports: cif: Emerging and Developing Economies,AO: Imports: cif: Advanced Economies,AO: Imports: cif: Emerging and Developing Economies: Export Earnings: Fuel,AO: Imports: cif: Emerging and Developing Economies: Export Earnings: Non-Fuel,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Mexico,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Suriname,AF: Trade Balance: Other Countries Not Elsewhere Classified: Cuba,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Vincent & The Grenadines,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Europe & Central Asia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Trinidad and Tobago,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Lucia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Paraguay,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Peru,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Sub-Saharan Africa,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Latin America & The Caribbean,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Europe & Central Asia,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Middle East & North Africa,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Panama,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: East Asia & Pacific,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Sub-Saharan Africa,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Kitts and Nevis,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Uruguay,AO: Imports: cif: Other Countries Not Elsewhere Classified,AO: Imports: cif: European Union,AO: Imports: cif: Advanced Economies: Australia,AO: Imports: cif,AF: (DC)Exports: Number of Documents,AF: (DC)Exports: Lead Time,AF: (DC)Imports: % of Goods Imports: Agricultural Raw Materials,AF: (DC)Imports: Number of Documents,AF: (DC)Imports: Lead Time,AF: Imports: % of Commercial Service Imports: Services: Travel,AO: (DC)Imports: cif: APEC,AO: (DC)Imports: cif: Euro Area,AO: (DC)Imports: cif: Special Categories,AF: (DC)Trade Balance: Other Countries Not Elsewhere Classified: (Old)Eastern Germany,AF: (DC)Trade Balance: Other Countries Not Elsewhere Classified: North Korea,AF: (DC)Exports: fob: USD,AF: (DC)Imports: cif: USD,AF: (DC)Exports: fob: USD,AF: (DC)Imports: cif: USD,AF: (DC)Imports: cif: USD,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Netherlands Antilles,AO: (DC)Imports: cif: Developing Countries,AO: (DC)Imports: cif: Non-Oil Developing Countries,AO: (DC)Imports: cif: Industrial Countries,AO: (DC)Imports: cif: Oil Exporting Countries,AF: (DC)Exports: fob: USD,AO: Imports: cif: Euro Area,"AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Venezuela, Republic Bolivariana de",AO: Imports: cif: Countries or Area Not Specified,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Latin America & The Caribbean,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: East Asia & Pacific,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Middle East & North Africa,AF: Trade Balance: Emerging and Developing Economies: Europe: Emerging and Developing Europe: Turkey,AF: Exports: % of Total Goods Exports: Residual,AF: Exports: % of Goods Exports: Agricultural Raw Materials,AF: Exports: % of Goods Exports: Food,AF: Exports: % of Commercial Service Exports: Services: Transport,AF: Imports: % of Total Goods Imports: The Arab World,AF: Exports: Lead Time: Documentary Compliance,AF: Import: Cost: Documentary Compliance,AF: Imports: Lead Time: Documentary Compliance,AF: Imports: % of Commercial Service Imports: Services: Insurance & Financial,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Outside Region,AF: Imports: Commercial Service,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region,"AF: Imports: % of Commercial Service Imports: Services: Computer, Communication & Other Services",AF: Exports: % of Commercial Service Exports: Services: Insurance & Financial,AF: Imports: % of Commercial Service Imports: Services: Transport
Region,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Angola,Angola,Angola,Angola,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Angola,Angola,Angola,Angola,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Angola,Angola,Angola,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Angola,Angola,Angola,Angola,Afghanistan,Angola,Afghanistan,Angola,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""",Monthly,Monthly,Monthly,Monthly,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""",Monthly,"Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""",Monthly,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""",Monthly,Monthly,Monthly,Monthly,"Annual, ending ""Dec"" of each year",Monthly,"Quarterly, ending ""Mar, June, Sep, Dec""",Monthly,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,USD,USD,USD,Hour,Hour,Day,Day,%,%,USD mn,USD mn,%,%,%,%,USD mn,%,USD mn,%,USD mn,%,%,%,%,%,%,%,%,%,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,%,USD mn,USD mn,USD mn,USD mn,%,%,%,%,USD mn,%,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,Number,Day,%,Number,Day,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,%,%,%,USD mn,%,%,%,%,%,Hour,USD,Hour,%,%,USD mn,%,%,%,%
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
Series ID,386850947,386840427,386843057,386845687,386856207,266361502,266346602,275013002,275076502,275055102,275239102,275181002,274932402,274953502,275034102,275538402,275559802,275788702,275768802,275720902,275517502,275496402,275866002,275741202,275663502,275579802,275218702,274448202,275437702,298287002,248360501,248360201,248359601,248359901,406948407,407179037,407403037,407322747,275127802,407054567,407696447,407692037,407883637,275682502,275626102,275609702,275645002,407923817,275597402,341780102,406791307,406784267,207594301,207601201,207560701,207552301,264517702,264537702,274911302,264687202,264707202,275346802,260318201,248362601,207594001,406969677,406642977,224281901,224282101,224282001,224282201,224282301,406715007,207561901,207561601,207552601,207601501,224281801,404883337,407537247,207593701,275143602,275114402,275162202,407293587,275700502,275395502,275416602,335161202,298229102,386848317,386853577,386858837,274993002,275096402,275306802,275259402,275286902,275476702,275326902
SR Code,SR105951737,SR105951687,SR105951697,SR105951667,SR105951717,SR102947477,SR102947437,SR102967777,SR102967637,SR102967597,SR102967607,SR102967707,SR102967757,SR102967767,SR102967787,SR102952377,SR102952417,SR102952397,SR102952607,SR102952387,SR102952577,SR102952567,SR102952627,SR102952427,SR102952487,SR102952437,SR102967727,SR102947407,SR102952557,SR102952507,SR6721077,SR6721217,SR6721111,SR6721414,SR117703567,SR117703647,SR117703697,SR117703637,SR102967677,SR117703657,SR117703627,SR117703597,SR117703607,SR102952497,SR102952467,SR102952457,SR102952477,SR117703587,SR102952447,SR112709187,SR117703617,SR117703667,SR6721487,SR6721320,SR6721356,SR6721415,SR102947447,SR102947427,SR102967747,SR102947487,SR102947467,SR102967837,SR6721137,SR6721462,SR6721257,SR117703717,SR117703707,SR104146967,SR104273387,SR104333437,SR104146987,SR104333457,SR117703577,SR6721127,SR6721485,SR6721184,SR6721419,SR104273367,SR115835217,SR117703677,SR6721431,SR102967687,SR102967667,SR102967697,SR117702457,SR102952517,SR102952537,SR102952547,SR102952617,SR102967717,SR105951677,SR105951747,SR105951727,SR102967807,SR102967657,SR102967617,SR102967647,SR102967817,SR102952597,SR102967827
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
