,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Balance,Central Government Operation: Revenue,Central Government Operation: Expenditure,Gross Domestic Product: Estimate: Monthly,GDP per Capita: SNA 1968,GDP/Capita: SNA 1993: 1993 Base,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: sa,Real GDP: YoY: saar,Real GDP: sa: YoY,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: Output Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,OE Forecast: Australia: GDP: Nominal: USD,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,AF: Gross Domestic Product (GDP),AF: GDP: Changes in Inventories,AF: GDP: Household Consumption Expenditure including NPISHs,AF: GDP: Volume: 2002 Prices,AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services",GDP: 2010p: Final Consumption Expenditure: Government,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,AF: GDP: Exports of Goods and Services,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Gross Capital Formation,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work",NAS 2011-2012: GDP Deflator,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",GDP: GVA: NACE 2: Industry,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Information & Communication,GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Real Estate Activities,Government Consumption Expenditure: USD mn: Quarterly: Albania,GDP: Final Consumption: Government,GDP: Final Consumption: Households,Private Consumption Expenditure: USD mn: Annual: Albania,Private Consumption Expenditure: USD mn: Quarterly: Albania,Gross Domestic Product (GDP),GDP: Gross Value Added (GVA),GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Construction,GDP: Changes in Stocks
Region,World,Russian Federation,Brazil,Brazil,Brazil,Russian Federation,Indonesia,Indonesia,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Australia,Hong Kong SAR,Thailand,Philippines,Taiwan,Indonesia,New Zealand,Japan,South Korea,Indonesia,World,World,World,World,World,Brazil,Afghanistan,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Indonesia,Indonesia,Indonesia,World,World,World,World,Oxford Economics,Oxford Economics,Albania,Albania,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Albania,United Arab Emirates,United Arab Emirates,United Arab Emirates,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Brazil,Brazil,Brazil,World,World,World,World,Albania,Albania,Albania,Albania,India,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,United Arab Emirates
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly,Monthly,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,"Annual, ending ""Dec"" of each year","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,"Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year"
Unit,USD bn,RUB bn,BRL mn,BRL mn,BRL mn,RUB bn,IDR,IDR,BRL mn,BRL mn,BRL mn,BRL mn,BRL mn,BRL mn,%,%,%,%,%,IDR,%,%,%,USD,NA,NA,NA,NA,NA,BRL mn,AFN mn,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,IDR,IDR,IDR,NA,NA,NA,NA,USD mn,USD mn,ALL mn,ALL mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,ALL mn,AED mn,AED mn,USD mn,AFN mn,AFN mn,AFN mn,AFN mn,BRL mn,BRL mn,BRL mn,NA,NA,NA,NA,USD mn,ALL mn,ALL mn,ALL mn,%,ALL mn,ALL mn,ALL mn,ALL mn,ALL mn,ALL mn,USD mn,ALL mn,ALL mn,USD mn,USD mn,ALL mn,ALL mn,ALL mn,ALL mn,AED mn
Source,Organisation for Economic Co-operation and Development,Ministry of Economic Development of the Russian Federation,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Ministry of Finance of the Russian Federation,Central Bureau of Statistics,Central Bureau of Statistics,National Treasury Secretariat,National Treasury Secretariat,National Treasury Secretariat,National Treasury Secretariat,National Treasury Secretariat,National Treasury Secretariat,CEIC Data,CEIC Data,CEIC Data,CEIC Data,CEIC Data,Central Bureau of Statistics,CEIC Data,CEIC Data,CEIC Data,CEIC Data,Markit,Markit,Markit,Markit,Markit,National Treasury Secretariat,International Monetary Fund,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Central Bureau of Statistics,Central Bureau of Statistics,Central Bureau of Statistics,Markit,Markit,Markit,Markit,Oxford Economics,Oxford Economics,Institute of Statistics of Albania,Institute of Statistics of Albania,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,Institute of Statistics of Albania,Federal Competitiveness and Statistics Authority,Federal Competitiveness and Statistics Authority,CEIC Data,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Markit,Markit,Markit,Markit,CEIC Data,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,CEIC Data,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,CEIC Data,Institute of Statistics of Albania,Institute of Statistics of Albania,CEIC Data,CEIC Data,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Federal Competitiveness and Statistics Authority
Status,Active,Active,Active,Active,Active,Active,Rebased,Rebased,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
Series ID,377030917,403962737,68953501 (BRFH),68953301 (BRFHA),68953401 (BRFHB),114179008,366391707 (DJXBFENAAAABCI),13142901 (DAPB),284902901,284903001,284903101,284903201,284903301,284903401,211193402,211243902 (HAAAAAAAB),247333701 (TAYAAAAAA),313741601 (PAAAAAAZAF),261981801 (WARKAB),365766457 (DJXBFENAAAABAX),211505902,249418201 (JAAAAAAAAC),206099802 (KAZACAAAA),249446701 (DAAAAAAZAC),413170467,413170647,413170857,413170907,413171187,284903501,408926687,1011101 (ADDAADA),1011201 (ADDAADB),1011301 (ADDAADC),1011401 (ADDAADD),1011501 (ADDAADE),1011601 (ADDAADF),1011701 (ADDAADG),1011801 (ADDAADH),1011901 (ADDAADI),1012001 (ADDAADJ),1012101 (ADDAADK),1012201 (ADDAADL),1012301 (ADDAADM),1012401 (ADDAADN),1012501 (ADDAADO),1012601 (ADDAADP),81404601 (DAVDBA),13116601 (DALAA),81401501 (DAVCZV),413173247,413173397,413173547,413173647,293661001,293658401,370050967,370045717,408940397,408921697,408929327,412035467,408912937,408913447,368922037,386599997,386599877,384001337,408895637,408904727,408910717,408911137,284903601,284902801,284902701,413172577,413172717,413172947,413173157,384228547,368921977,368922017,368922027,366482857,368921937,368921947,368921957,368921987,368921997,368922007,384228567,370045707,370045697,384228537,384228557,368921927,368921897,402537117,368921967,386599927
SR Code,SR5043327,SR115267797,SR180084,SR180085,SR180086,SR1401525,SR87850927,SR394754,SR4280201,SR4273221,SR4276941,SR4278339,SR4279067,SR4276379,SR4693621,SR4507406,SR3723738,SR4980342,SR4074121,SR87474897,SR3582439,SR101262797,SR7081824,SR3723637,SR125626017,SR125626107,SR125626037,SR125626057,SR125626047,SR4277216,SR118659247,SR715140,SR715141,SR715142,SR715143,SR715144,SR715145,SR715147,SR715148,SR715149,SR715150,SR715151,SR715152,SR715153,SR715154,SR715155,SR715156,SR711719,SR231625,SR711687,SR125626007,SR125626097,SR125626137,SR125626027,SR4454426,SR4454424,SR92563167,SR92563187,SR118659137,SR118659177,SR118659147,SR124333567,SR118659157,SR118659167,SR91040497,SR105748827,SR105748717,SR102248997,SR118659187,SR118659207,SR118659197,SR118659227,SR4275844,SR4279034,SR4275784,SR125626067,SR125626117,SR125626087,SR125626077,SR102247717,SR91040437,SR91040477,SR91040487,SR87981857,SR91040397,SR91040407,SR91040417,SR91040447,SR91040457,SR91040467,SR102247237,SR92563157,SR92563147,SR102236597,SR102235617,SR91040377,SR91040387,SR114160817,SR91040427,SR105748767
Mnemonic,,,,,,,,,,,,,,,AU.GDP.RL.SA-YOY-Q,HK.GDP.RL.SA-YOY-Q,TH.GDP.RL.SA-YOY-Q,PH.GDP.RL.SA-YOY-Q,TW.GDP.RL.SA-YOY-Q,ID.GDPPC.NM.IDR-A,NZ.GDP.RL.SA-YOY-Q,JP.GDP.RLAS.SA-YOY-Q,KR.GDP.RL.SA-YOY-Q,ID.GDPPC.NM.USD-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL.GDPFCEGCL.NM.ALL-MN-Q,AL.GDPFCECNP.NM.ALL-MN-Q,,,,,,,,AE.GDPFCEG.RL.AED-MN-A,AE.GDPFCEG.NM.AED-MN-A,AE.GDPFCEG.NM.USD-MN-A,,,,,,,,,,,,AL.GDPFCEG.NM.USD-MN-A,,,,,,,,,,,AL.GDPFCEG.NM.USD-MN-Q,AL.GDPFCEG.NM.ALL-MN-Q,AL.GDPFCECHH.NM.ALL-MN-Q,AL.GDPFCEC.NM.USD-MN-A,AL.GDPFCEC.NM.USD-MN-Q,AL.GDP.NM.ALL-MN-Q,AL.GDPGVA.NM.ALL-MN-Q,AL.GDPNTAXP.NM.ALL-MN-Q,,AE.GDPGCFCIV.NM.AED-MN-A
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
