,AF: Gross Domestic Product (GDP),AF: GDP: Household Consumption Expenditure including NPISHs,AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,AF: GDP: Changes in Inventories,AF: GDP: Exports of Goods and Services,AF: GDP: Imports of Goods and Services,AF: GDP: Statistical Discrepancy,AF: GDP: Gross Capital Formation,AF: (DC)GDP: Volume: 1985 Prices,AF: GDP: Volume: 2002 Prices,AF: Budgetary Central Government: Cash Receipts: Operating Activities,AF: Budgetary Central Government: Cash Receipts: Operating Activities: Taxes,AF: Budgetary Central Government: Cash Receipts: Operating Activities: Taxes: Goods and Services,AF: Budgetary Central Government: Cash Receipts: Operating Activities: Taxes: Income and Profits,AF: Budgetary Central Government: Cash Receipts: Operating Activities: Taxes: Other,AF: Budgetary Central Government: Cash Receipts: Operating Activities: Taxes: Property,AF: Budgetary Central Government: Cash Receipts: Operating Activities: Taxes: Payroll,AF: Budgetary Central Government: Cash Receipts: Operating Activities: Taxes: Trade,AF: Budgetary Central Government: Cash Receipts: Operating Activities: Social Contributions,AF: Budgetary Central Government: Cash Receipts: Operating Activities: Grants,AF: Budgetary Central Government: Cash Receipts: Operating Activities: Others,AF: Budgetary Central Government: Cash Payments: Operating Activities,AF: Budgetary Central Government: Cash Payments: Operating Activities: Compensation of Employees,AF: Budgetary Central Government: Cash Payments: Operating Activities: Purchases of Goods and Services,AF: Budgetary Central Government: Cash Payments: Operating Activities: Interest,AF: Budgetary Central Government: Cash Payments: Operating Activities: Subsidies,AF: Budgetary Central Government: Cash Payments: Operating Activities: Grants,AF: Budgetary Central Government: Cash Payments: Operating Activities: Social Benefits,AF: Budgetary Central Government: Cash Payments: Operating Activities: Others,AF: Budgetary Central Government: Net Cash Inflow: Operating Activities,AF: Budgetary Central Government: Net Cash Outflow: Investments in Nonfinancial Assets,AF: Budgetary Central Government: Net Cash Outflow: Investments in Nonfinancial Assets: Purchases of Nonfinancial Assets,AF: Budgetary Central Government: Net Cash Outflow: Investments in Nonfinancial Assets: Sales of Nonfinancial Assets,AF: Budgetary Central Government: Cash Surplus/Deficit,AF: Budgetary Central Government: Net Acquisition of Financial Assets,AF: Budgetary Central Government: Net Acquisition of Financial Assets: by Instrument: Securities Other Than Shares,AF: Budgetary Central Government: Net Acquisition of Financial Assets: by Instrument: Loans,AF: Budgetary Central Government: Net Acquisition of Financial Assets: by Instrument: Shares and Other Equity,AF: Budgetary Central Government: Net Acquisition of Financial Assets: by Instrument: Insurance Technical Reserves,AF: Budgetary Central Government: Net Acquisition of Financial Assets: by Instrument: Financial Derivatives,AF: Budgetary Central Government: Net Acquisition of Financial Assets: by Debtor: Domestic,AF: Budgetary Central Government: Net Acquisition of Financial Assets: by Debtor: Foreign,AF: Budgetary Central Government: Net Acquisition of Financial Assets: by Debtor: Monetary Gold and SDRs,AF: Budgetary Central Government: Net Incurrence of Liabilities,AF: Budgetary Central Government: Net Incurrence of Liabilities: by Instrument: SDRs,AF: Budgetary Central Government: Net Incurrence of Liabilities: by Instrument: Currency and Deposits,AF: Budgetary Central Government: Net Incurrence of Liabilities: by Instrument: Securities Other Than Shares,AF: Budgetary Central Government: Net Incurrence of Liabilities: by Instrument: Loans,AF: Budgetary Central Government: Net Incurrence of Liabilities: by Instrument: Shares and Other Equity,AF: Budgetary Central Government: Net Incurrence of Liabilities: by Instrument: Insurance Technical Reserves,AF: Budgetary Central Government: Net Incurrence of Liabilities: by Instrument: Financial Derivatives,AF: Budgetary Central Government: Net Incurrence of Liabilities: by Creditor: Domestic,AF: Budgetary Central Government: Net Incurrence of Liabilities: by Creditor: Foreign,AF: Budgetary Central Government: Net Cash Inflow: Financing Activities,AF: Budgetary Central Government: Net Change in the Stock of Cash,AF: Budgetary Central Government: Statistical Discrepancy,AF: Budgetary Central Government: Memo Item: Total Cash Expenditure,AF: (DC)Budgetary Central Government: Net Acquisition of Financial Assets: by Instrument: Monetary Gold and SDRs,AF: Budgetary Central Government: Memo Item: Total Cash Expenditure,AF: Budgetary Central Government: Statistical Discrepancy,Construction Cost Index,Series - 09,Series - 01,Non Performing Loans Ratio,Public External Debt,Resident Population,AF: Surface Area,AF: Land Area,AF: Forest Area,AF: Agricultural Land,AF: Arable Land,AF: Arable Land in Hectares per Person,AF: Average Precipitation in Depth,AF: Agricultural Land: % of Land Area,AF: Agricultural Irrigated Land: % of Total Agricultural Land,AF: Arable Land: % of Land Area,AF: Forest Area: % of Land Area,AF: Permanent Cropland: % of Land Area,AF: (DC)Land Area Where Elevation is Below 5 Meters: % of Total Land Area,AF: (DC)Population Living in Areas Where Elevation is Below 5 Meters: % of Total Population,"AF: Droughts, Floods, Extreme Temperatures: Average 1990-2009: % of Population",AF: (DC)Terrestrial Protected Areas,AF: Terrestrial Protected Areas as % of Total Land Area,AF: (DC)Terrestrial Protected Areas as % of Total Surface Area,AF: (DC)Marine Protected Areas,AF: (DC)Marine Protected Areas as % of Total Surface Area,AF: Terrestrial & Marine Protected Areas: % of Total Territorial Area,AF: Bird Species: Threatened,AF: Fish Species: Threatened,AF: Plant Species: Higher: Threatened,AF: Mammal Species: Threatened,AF: (DC)GEF Benefits Index for Biodiversity,AF: Coal Rents: % of GDP,AF: Forest Rents: % of GDP,AF: Mineral Rents: % of GDP,AF: Natural Gas Rents: % of GDP,AF: Oil Rents: % of GDP,AF: Total Natural Resources Rents: % of GDP,AF: Production Index: 2004-2006: Crop
Region,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Switzerland,Test,Test,Bahrain,Zambia,Macau SAR,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""",Monthly,Monthly,"Half-yearly ending ""Oct, Apr""","Daily, ""5 observation""",Weekly beginning at Sunday,"Half-yearly ending ""Sep, Mar""","Half-yearly ending ""Jun, Dec""","Half-yearly ending ""Jun, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,Oct2015=100,%,%,%,USD mn,Person,sq km,sq km,sq km,sq km,ha,ha,mm/Year,%,%,%,%,%,%,%,%,Number,%,%,Number,%,%,Unit,Unit,Unit,Unit,NA,%,%,%,%,%,%,2004-2006=100
Source,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,Swiss Federal Statistical Office,LEAP-TEST,Akshata_Benchmark_test_12012015,Central Bank of Bahrain,Ministry of Finance,Statistics and Census Service,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Active,Discontinued,Active,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Active,Active,Active,Active,Active,Active,Active
Series ID,408940397,408929327,408912937,408913447,408921697,408895637,408910717,408904727,408911137,408926687,412035467,272897501,272897801,408723527,408644537,408836607,408654587,408498607,408809457,272898101,272898401,272898701,272899001,272899301,272899601,272899901,272900201,272900501,272900801,272901101,272908101,272901701,272902001,272902301,272908401,272905001,272902601,272902901,272903201,272903501,272903801,272904101,272904401,272904701,272905301,355129047,272905601,272905901,272906201,272906501,272906801,272907101,272907401,272907701,272909001,300499201,272908701,272901401,131939504,272901301,272908601,377148287,378223907,374327427 (APPP),401475337,398215197,130698301 (MOGJAAAA),257195902,257088102,257017102,256865902,256910902,256931502,257070202,256888402,257061502,256953902,257039402,256995802,315316402,315179502,315240202,263115802,296465602,263137802,263159502,263181502,327082802,262773802,262794702,262815502,262836402,262967402,297261002,297290002,325770602,297338202,297366902,297390002,327370002
SR Code,SR118659137,SR118659147,SR118659157,SR118659167,SR118659177,SR118659187,SR118659197,SR118659207,SR118659227,SR118659247,SR124333567,SR104443467,SR104443477,SR118535227,SR118535237,SR118535247,SR118535257,SR118535267,SR118535277,SR104443487,SR104443497,SR104443507,SR104443517,SR104443527,SR104443537,SR104443547,SR104443557,SR104443567,SR104443577,SR104443587,SR104443597,SR104443607,SR104443617,SR104443627,SR104443637,SR104443657,SR104443677,SR104443687,SR104443697,SR104443707,SR104443717,SR104443727,SR104443737,SR118535287,SR104443747,SR104443757,SR104443767,SR104443777,SR104443787,SR104443797,SR104443807,SR104443817,SR104443827,SR104443837,SR104443857,SR104443867,SR104443877,SR104443887,SR104443667,SR104155957,SR104155947,SR100028657,SR100528597,SR97245007,SR114100497,SR113031527,SR1581722,SR102776547,SR102776557,SR102776567,SR102776577,SR102776587,SR102776597,SR102776607,SR102776627,SR102776637,SR102776647,SR102776657,SR102776667,SR102776687,SR102776707,SR102776727,SR102776747,SR102776757,SR102776767,SR102776777,SR102776787,SR102776797,SR102776807,SR102776817,SR102776827,SR102776837,SR102776847,SR102776867,SR102776877,SR102776887,SR102776897,SR102776907,SR102776917,SR5380775
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
