,AF: Imports: % of Total Goods Imports: The Arab World,AF: Imports: % of Goods Imports: Food,AF: Imports: % of Goods Imports: Ores & Metals,AF: Imports: % of Goods Imports: Fuel,AF: Imports: % of Goods Imports: Manufactures,AF: Imports: % of Total Goods Imports: Residual,AF: Exports: % of Goods Exports: Agricultural Raw Materials,AF: Exports: % of Goods Exports: Food,AF: Exports: % of Goods Exports: Fuel,AF: Exports: % of Goods Exports: Manufactures,AF: Exports: % of Goods Exports: Ores & Metals,AF: Exports: High-Income Economies: % of Total Goods Exports,AF: Exports: % of Total Goods Exports: Residual,AF: Exports: % of Total Goods Exports: The Arab World,AF: Exports: Goods by Reporting Economy,AF: Exports: % of Commercial Service Exports: Services: Transport,AF: Exports: % of Commercial Service Exports: Services: Travel,AF: Exports: Commercial Service,AF: Imports: Commercial Service,AF: Exports: Goods,AF: Imports: Goods,AF: Goods Trade: % of GDP,AF: Imports: % of Commercial Service Imports: Services: Travel,AF: Imports: % of Commercial Service Imports: Services: Transport,AF: Imports: High-Income Economies: % of Total Goods Imports,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Outside Region,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: East Asia & Pacific,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Europe & Central Asia,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Latin America & The Caribbean,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Middle East & North Africa,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: South Asia,AF: Imports: Goods by Reporting Economy,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Outside Region,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: East Asia & Pacific,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Europe & Central Asia,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Latin America & The Caribbean,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Middle East & North Africa,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: South Asia,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Sub-Saharan Africa,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region,AF: Export: Cost: Border Compliance,AF: Export: Cost: Documentary Compliance,AF: Exports: Lead Time: Border Compliance,AF: Exports: Lead Time: Documentary Compliance,AF: Import: Cost: Border Compliance,AF: Import: Cost: Documentary Compliance,AF: Imports: Lead Time: Border Compliance,AF: Imports: Lead Time: Documentary Compliance,AF: Exports: Lead Time: Median Case,AF: Imports: Lead Time: Median Case,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Sub-Saharan Africa,AF: Imports: % of Commercial Service Imports: Services: Insurance & Financial,"AF: Exports: % of Commercial Service Exports: Services: Computer, Communication & Other Services","AF: Imports: % of Commercial Service Imports: Services: Computer, Communication & Other Services",AF: Exports: % of Commercial Service Exports: Services: Insurance & Financial,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Uruguay,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Trinidad and Tobago,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Suriname,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Lucia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Paraguay,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Panama,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Kitts and Nevis,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Peru,AF: Trade Balance: Other Countries Not Elsewhere Classified: Cuba,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Nicaragua,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Mexico,"AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Venezuela, Republic Bolivariana de",AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Vincent & The Grenadines,AO: Imports: cif: Emerging and Developing Economies,AO: Imports: cif: Advanced Economies,AO: Imports: cif: Emerging and Developing Economies: Export Earnings: Non-Fuel,AO: Imports: cif: Emerging and Developing Economies: Export Earnings: Fuel,AO: Imports: cif: European Union,AO: Imports: cif: Other Countries Not Elsewhere Classified,AO: Imports: cif: Countries or Area Not Specified,AO: Imports: cif: Advanced Economies: Australia,AO: Imports: cif,AO: Imports: cif: Euro Area,AF: (DC)Exports: Lead Time,AF: (DC)Imports: Lead Time,AF: (DC)Imports: Number of Documents,AF: (DC)Exports: Number of Documents,AF: (DC)Exports: fob: USD,AF: (DC)Exports: fob: USD,AF: (DC)Imports: cif: USD,AF: (DC)Imports: cif: USD,AF: (DC)Imports: % of Goods Imports: Agricultural Raw Materials,AF: (DC)Exports: fob: USD,AF: (DC)Imports: cif: USD,AO: (DC)Imports: cif: Special Categories,AO: (DC)Imports: cif: Oil Exporting Countries,AO: (DC)Imports: cif: Industrial Countries,AO: (DC)Imports: cif: Non-Oil Developing Countries,AO: (DC)Imports: cif: Developing Countries,AO: (DC)Imports: cif: Euro Area,AO: (DC)Imports: cif: APEC,AF: (DC)Trade Balance: Other Countries Not Elsewhere Classified: (Old)Eastern Germany,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Netherlands Antilles,AF: (DC)Trade Balance: Other Countries Not Elsewhere Classified: North Korea
Region,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Afghanistan,Afghanistan,Afghanistan
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,"Quarterly, ending ""Mar, June, Sep, Dec""",Monthly,"Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,%,%,%,%,%,%,%,%,%,%,%,%,%,%,USD mn,%,%,USD mn,USD mn,USD mn,USD mn,%,%,%,%,%,%,%,%,%,%,USD mn,%,%,%,%,%,%,%,%,%,USD,USD,Hour,Hour,USD,USD,Hour,Hour,Day,Day,%,%,%,%,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,Day,Day,Number,Number,USD mn,USD mn,USD mn,USD mn,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,298229102,274932402,275034102,274953502,275013002,275218702,275395502,275416602,275437702,275496402,275517502,275559802,275700502,298287002,275720902,335161202,275866002,275788702,275306802,275538402,275055102,274448202,275346802,275326902,275076502,275096402,275114402,275127802,275143602,275162202,275181002,275239102,275259402,275579802,275597402,275609702,275626102,275645002,275663502,275682502,275741202,386840427,386843057,386845687,386848317,386850947,386853577,386856207,386858837,266346602,266361502,341780102,274993002,275768802,275286902,275476702,406784267,407054567,407179037,407696447,407692037,407923817,406791307,407883637,407403037,417797677,406948407,407537247,407322747,248360501,248360201,248359901,248359601,207601201,207594301,207593701,207560701,207552301,404883337,264537702,264707202,264687202,264517702,224281901,224282001,224282201,224282301,274911302,224281801,224282101,207594001,207601501,207552601,207561601,207561901,248362601,260318201,406969677,406715007,406642977
SR Code,SR102967717,SR102967757,SR102967787,SR102967767,SR102967777,SR102967727,SR102952537,SR102952547,SR102952557,SR102952567,SR102952577,SR102952417,SR102952517,SR102952507,SR102952387,SR102952617,SR102952627,SR102952397,SR102967617,SR102952377,SR102967597,SR102947407,SR102967837,SR102967827,SR102967637,SR102967657,SR102967667,SR102967677,SR102967687,SR102967697,SR102967707,SR102967607,SR102967647,SR102952437,SR102952447,SR102952457,SR102952467,SR102952477,SR102952487,SR102952497,SR102952427,SR105951687,SR105951697,SR105951667,SR105951677,SR105951737,SR105951747,SR105951717,SR105951727,SR102947437,SR102947477,SR112709187,SR102967807,SR102952607,SR102967817,SR102952597,SR117703667,SR117703657,SR117703647,SR117703627,SR117703597,SR117703587,SR117703617,SR117703607,SR117703697,SR127562287,SR117703567,SR117703677,SR117703637,SR6721077,SR6721217,SR6721414,SR6721111,SR6721320,SR6721487,SR6721431,SR6721356,SR6721415,SR115835217,SR102947427,SR102947467,SR102947487,SR102947447,SR104146967,SR104333437,SR104146987,SR104333457,SR102967747,SR104273367,SR104273387,SR6721257,SR6721419,SR6721184,SR6721485,SR6721127,SR6721462,SR6721137,SR117703717,SR117703577,SR117703707
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
