,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Barbados,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Aruba,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Lesotho,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Rwanda,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Burundi,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Moldova,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Bermuda,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Turkmenistan,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Africa Not Specified,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Zambia,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Somalia",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Comoros,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Colombia,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Chad,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Botswana,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Uganda,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan",AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Kyrgyz Republic,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Burkina Faso,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Sudan",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Madagascar,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Liberia,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Belize,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Chile,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Brazil,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Bolivia,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Niger,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Togo,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Ethiopia,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Djibouti",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Eritrea,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Antigua and Barbuda,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Namibia,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Mali,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Equatorial Guinea,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Eswatini,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Kazakhstan,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Qatar",AO: Imports: cif: Emerging and Developing Economies: Africa,AO: Imports: cif: Emerging and Developing Economies: Middle East,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Ukraine,AO: Imports: cif: Emerging and Developing Economies: Europe: CIS: Russia,AO: Imports: cif: Emerging and Developing Economies: Europe: Europe Not Specified,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Tunisia",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Tanzania,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Sierra Leone,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Senegal,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Seychelles,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Sao Tome & Principe,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Zimbabwe,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Nigeria,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Mozambique,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Morocco",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Mauritius,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Mauritania",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Malawi,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Libya",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Kenya,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Cote D'Ivoire,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Guinea,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Guinea-Bissau,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Ghana,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Gambia,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Gabon,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Benin,"AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Congo, Democratic Republic of","AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Congo, Republic of",AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Cabo Verde,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Cameroon,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Algeria","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Pakistan","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Egypt","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Saudi Arabia","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Oman","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Lebanon","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Kuwait","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Jordan","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Iraq","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Bahrain, Kingdom of",AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Bahamas,AO: Imports: cif: Emerging and Developing Economies: Western Hemisphere: Argentina,AO: Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: South Africa,"AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Syrian Arab Republic","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Afghanistan, Islamic Republic of","AO: Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: United Arab Emirates",AO: (DC)Imports: cif: Developing Countries: (Old)Middle East,AO: (DC)Imports: cif: Developing Countries: (Old)Africa,AO: (DC)Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Reunion,AO: (DC)Imports: cif: Emerging and Developing Economies: Middle East and North Africa,AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: CIS: Uzbekistan,AO: (DC)Imports: cif: Emerging and Developing Economies: Europe: CIS: Tajikistan,AO: (DC)Imports: cif: Emerging and Developing Economies: Western Hemisphere: Anguilla,AO: (DC)Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: Central African Republic,"AO: (DC)Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Iran, Islamic Republic of","AO: (DC)Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: (Old)Yemen, People Democratic Republic",AO: (DC)Imports: cif: Emerging and Developing Economies: Sub-Saharan Africa: South Africa Common Custom Area excl South Africa,"AO: (DC)Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: West Bank and Gaza","AO: (DC)Imports: cif: Emerging and Developing Economies: Middle East, North Africa, and Pakistan: Yemen, Republic of"
Region,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Unit,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn
Source,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,207568201,207567901,384330327,384262027,207581101,207595801,384276127,384272847,207591901,207591601,207590101,207582301,207563701,384306717,384327097,384360997,300375001,132335604,207595201,207591301,207590401,207586201,207585601,207569101,207563401,207563101,207562801,384319867,384286177,384263187,384258457,384257877,384357127,384581067,384580567,384519097,384497907,131616304,131616204,248361701,248361101,248360801,207596701,207596101,207593101,207591001,207590701,207589801,207589501,207589201,207588901,207588601,207588001,207587701,207587401,207587101,207586801,207586501,207585901,207585301,207585001,207584701,207584401,207584101,207583801,207583501,207583201,207582901,207582601,207581701,207581401,207580801,207578401,207574501,207573901,207573601,207573301,207573001,207572701,207572101,207571201,207567601,207562501,207561301,384565497,384623217,384511267,207570901,207580201,207588301,300374701,384611327,384286697,384281867,207582001,207571801,207574201,207580501,384529257,207574801
SR Code,SR6721216,SR6721072,SR102302727,SR102302767,SR6721265,SR6721324,SR102302827,SR102302607,SR6721455,SR6721391,SR6721412,SR6721287,SR6721139,SR102302687,SR102302677,SR102302797,SR6721036,SR6892626,SR6721219,SR6721319,SR6721161,SR6721330,SR6721062,SR6721345,SR6721510,SR6721199,SR6721449,SR102302757,SR102302787,SR102302717,SR102302637,SR102302707,SR102302817,SR102302747,SR102302737,SR102302697,SR102302777,SR6750948,SR6750322,SR6721383,SR6721276,SR6721357,SR6721447,SR6721491,SR6721258,SR6721464,SR6721093,SR6721264,SR6721239,SR6721047,SR6721311,SR6721133,SR6721423,SR6721454,SR6721104,SR6721141,SR6721408,SR6721483,SR6721315,SR6721068,SR6721458,SR6721389,SR6721042,SR6721463,SR6721233,SR6721143,SR6721327,SR6721448,SR6721048,SR6721416,SR6721163,SR6721179,SR6721215,SR6721182,SR6721519,SR6721427,SR6721158,SR6721351,SR6721197,SR6721313,SR6721147,SR6721451,SR6721317,SR6721390,SR102302647,SR102302627,SR102302657,SR6721229,SR6721223,SR6721386,SR6721046,SR102302617,SR102302597,SR102302807,SR6721222,SR6721393,SR6721099,SR6721417,SR102302667,SR6721518
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
