,AO: Exports: % of Total Goods Exports: The Arab World,AO: Tariff Rate: Most Favored Nation: Simple Mean: Primary Products,AO: Tariff Rate: Applied: Weighted Mean: Primary Products,AO: Tariff Rate: Most Favored Nation: Weighted Mean: Primary Products,AO: Imports: % of Goods Imports: Agricultural Raw Materials,AO: Imports: % of Goods Imports: Food,AO: Import Volume Index,AO: Binding Coverage: Manufactured Products,AO: Tariff Rate: Most Favored Nation: Simple Mean: Manufactured Products,AO: Tariff Rate: Most Favored Nation: Weighted Mean: Manufactured Products,AO: Binding Coverage,AO: Imports: % of Total Goods Imports: The Arab World,AO: Share of Tariff Lines with International Peaks,AO: Share of Tariff Lines with International Peaks: Primary Products,AO: Tariff Rate: Applied: Simple Mean: Primary Products,AO: Share of Tariff Lines with Specific Rates: Primary Products,AO: Imports: % of Goods Imports: Fuel,AO: Imports: % of Goods Imports: Manufactures,AO: Imports: % of Goods Imports: Ores & Metals,AO: Imports: High-Income Economies: % of Total Goods Imports,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Outside Region,AO: Imports: % of Total Goods Imports: Residual,AO: Imports: Goods by Reporting Economy,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region,AO: Export Volume Index,AO: Exports: % of Goods Exports: Agricultural Raw Materials,AO: Exports: % of Goods Exports: Food,AO: Exports: % of Goods Exports: Fuel,AO: Exports: % of Goods Exports: Manufactures,AO: Exports: % of Goods Exports: Ores & Metals,AO: Exports: High-Income Economies: % of Total Goods Exports,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Outside Region,AO: Exports: % of Total Goods Exports: Residual,AO: Bound Rate: Simple Mean: Manufactured Products,AO: Share of Tariff Lines with International Peaks: Manufactured Products,AO: Tariff Rate: Applied: Simple Mean: Manufactured Products,AO: Share of Tariff Lines with Specific Rates: Manufactured Products,AO: Tariff Rate: Applied: Weighted Mean: Manufactured Products,AO: Bound Rate: Simple Mean,AO: Tariff Rate: Applied: Simple Mean,AO: Tariff Rate: Most Favored Nation: Simple Mean,AO: Share of Tariff Lines with Specific Rates,AO: Tariff Rate: Applied: Weighted Mean,AO: Tariff Rate: Most Favored Nation: Weighted Mean,AO: Binding Coverage: Primary Products,AO: Bound Rate: Simple Mean: Primary Products,AO: Exports: Goods by Reporting Economy,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region,AO: Exports: % of Commercial Service Exports: Services: Travel,AO: Exports: % of Commercial Service Exports: Services: Transport,AO: Exports: Commercial Service,"AO: Exports: % of Commercial Service Exports: Services: Computer, Communication & Other Services",AO: Exports: Goods,"AO: Imports: % of Commercial Service Imports: Services: Computer, Communication & Other Services",AO: Imports: Goods,AO: Imports: Commercial Service,AO: Imports: % of Commercial Service Imports: Services: Insurance & Financial,AO: Imports: % of Commercial Service Imports: Services: Transport,AO: Imports: % of Commercial Service Imports: Services: Travel,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Europe & Central Asia,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Latin America & The Caribbean,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Middle East & North Africa,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: South Asia,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Sub-Saharan Africa,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Europe & Central Asia,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Latin America & The Caribbean,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Middle East & North Africa,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: South Asia,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Sub-Saharan Africa,AO: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: East Asia & Pacific,AO: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: East Asia & Pacific,AG: BoP: Current Account: Services: Transport: Sea: Debit,AG: BoP: Current Account: Services: Transport: Sea: Credit,AG: BoP: Current Account: Services: Transport: Sea,AG: BoP: Current Account: Services: Transport: Passenger: Debit,AG: BoP: Current Account: Services: Transport: Passenger: Credit,AG: BoP: Current Account: Services: Transport: Passenger,AG: BoP: Current Account: Services: Transport: Freight: Debit,AG: BoP: Current Account: Services: Transport: Freight,AG: BoP: Current Account: Services: Transport: Others: Debit,AG: BoP: Current Account: Services: Transport: Others: Credit,AG: BoP: Current Account: Services: Transport: Others,AG: BoP: Current Account: Services: Transport: Debit,AG: BoP: Current Account: Goods: General Merchandise on a BOP Basis: Debit,AG: BoP: Current Account: Services: Transport: Sea: Others: Credit,AG: BoP: Current Account: Services: Transport: Sea: Others,AG: BoP: Current Account: Services: Transport: Sea: Freight: Debit,AG: BoP: Current Account: Services: Transport: Sea: Freight,AG: BoP: Current Account: Goods: General Merchandise on a BOP Basis: ow Re Exports: Credit,AG: BoP: Current Account: Services: Transport: Sea: Others: Debit,AG: BoP: Current Account: Services: Transport: Sea: Freight: Credit,AG: BoP: Current Account: Services: Transport: Sea: Passenger: Debit,AG: BoP: Current Account: Services: Transport: Sea: Passenger: Credit,AG: BoP: Current Account: Services: Transport: Sea: Passenger,AG: BoP: Current Account: Services: Manufacturing Services on Physical Inputs Owned by Others: Debit,AG: BoP: Current Account: Services: Manufacturing Services on Physical Inputs Owned by Others: Credit,AG: BoP: Current Account: Services: Manufacturing Services on Physical Inputs Owned by Others,AG: BoP: Current Account: Services: Transport: Freight: Credit,AG: BoP: Current Account: Services: Manufacturing Services on Physical Inputs Owned by Others: Goods for Processing: Processing in Reporting Economy: Debit,AO: (DC)Exports: % of Commercial Service Exports: Services: Insurance & Financial
Region,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Angola
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,%,%,%,%,%,%,2000=100,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,USD mn,%,2000=100,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,USD mn,%,%,%,USD mn,%,USD mn,%,USD mn,USD mn,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,%
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued
Series ID,298287102,274835802,274873502,274892402,274911402,274932502,274469002,274483102,274550402,274607002,274625702,298229202,274655402,274798002,274816902,274854602,274953602,275013102,275034202,275076602,275096502,275218802,275239202,275259502,275381102,275395602,275416702,275437802,275496502,275517602,275559902,275579902,275700602,274497802,274512602,274531502,274569202,274588102,274640502,274674302,274693202,274712002,274730902,274749802,274768502,274783202,275721002,275741302,275866102,275846302,275788802,275768902,275538502,275287002,275055202,275306902,274993102,275327002,275346902,298257202,275143702,275162302,275181102,275200602,275609802,275626202,275645102,275663602,275682602,335752002,342881402,335384001,335383801,335383601,369223517,369223497,369223477,369223457,369223437,369223417,369223397,369223377,335383401,335381601,396142237,396210297,396102567,396166997,396064417,409765267,409840897,409863817,409794237,409794287,409870457,409855967,409839837,387441587,409857617,275476802
SR Code,SR6734061,SR6734571,SR6734520,SR6734538,SR6733512,SR6733885,SR6734288,SR6734691,SR6734510,SR6734752,SR6734710,SR6733547,SR6734840,SR6734666,SR6734631,SR6734567,SR6733520,SR6733521,SR6733448,SR6733925,SR6733811,SR6733473,SR6733490,SR6733539,SR6734038,SR6733955,SR6734062,SR6734409,SR6734319,SR6734371,SR6734106,SR6733984,SR6734043,SR6734511,SR6734661,SR6734449,SR6734688,SR6734598,SR6734679,SR6734493,SR6734537,SR6734812,SR6734650,SR6734582,SR6734807,SR6734657,SR6734126,SR6734298,SR6734412,SR6734060,SR6734195,SR6734373,SR6734244,SR6733748,SR6733612,SR6733831,SR6733802,SR6733910,SR6733770,SR6733719,SR6733498,SR6733889,SR6733835,SR6733733,SR6734311,SR6734057,SR6734284,SR6734289,SR6734400,SR112706647,SR112748667,SR103789777,SR103789767,SR103789757,SR103789747,SR103789737,SR103789727,SR103789717,SR103789707,SR103789697,SR103789687,SR103789677,SR103789667,SR103789577,SR109728497,SR109728487,SR109728477,SR109728467,SR109728447,SR118982087,SR118982077,SR118982067,SR118982057,SR118982047,SR118981977,SR118981967,SR118981957,SR106261107,SR118982007,SR6734113
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
