,Gross Domestic Product (GDP),GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Information & Communication,GDP: Gross Value Added (GVA),GDP: Final Consumption: Government,GDP: Final Consumption: Households,GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Real Estate Activities,GDP: GVA: NACE 2: Construction,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Industry,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",NAS 2011-2012: GDP Deflator,GDP: 2010p: Final Consumption Expenditure: Government,GDP: Changes in Stocks,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services",Private Consumption Expenditure: USD mn: Quarterly: Albania,Private Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services",Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,Government Consumption Expenditure: USD mn: Quarterly: Albania,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: sa: YoY,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: saar,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Output Index,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,OE Forecast: Australia: GDP: Nominal: USD,AF: Gross Domestic Product (GDP),AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,AF: GDP: Gross Capital Formation,AF: GDP: Exports of Goods and Services,AF: GDP: Changes in Inventories,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Volume: 2002 Prices,AF: GDP: Household Consumption Expenditure including NPISHs,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Revenue,Central Government Operation: Expenditure,Central Government Operation: Balance,Gross Domestic Product: Estimate: Monthly,GDP/Capita: SNA 1993: 1993 Base,GDP per Capita: SNA 1968,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base
Region,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Albania,India,United Arab Emirates,United Arab Emirates,United Arab Emirates,Albania,Albania,Albania,Albania,Albania,Albania,Albania,United Arab Emirates,Albania,Taiwan,New Zealand,Thailand,Philippines,South Korea,Hong Kong SAR,Australia,Indonesia,Japan,Indonesia,World,World,World,World,World,World,World,World,Oxford Economics,Oxford Economics,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Albania,Albania,Brazil,Brazil,Brazil,World,World,World,World,World,World,Russian Federation,Brazil,Brazil,Brazil,Russian Federation,Indonesia,Indonesia,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Afghanistan,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Indonesia,Indonesia,Indonesia
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,"Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,"Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly,Monthly,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,"Annual, ending ""Dec"" of each year","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Daily, ""Everyday""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year"
Unit,ALL mn,ALL mn,ALL mn,ALL mn,ALL mn,ALL mn,ALL mn,ALL mn,ALL mn,ALL mn,ALL mn,ALL mn,%,AED mn,AED mn,AED mn,USD mn,ALL mn,USD mn,USD mn,ALL mn,ALL mn,ALL mn,USD mn,USD mn,%,%,%,%,%,%,%,IDR,%,USD,NA,NA,NA,NA,NA,NA,NA,NA,USD mn,USD mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,AFN mn,ALL mn,ALL mn,BRL mn,BRL mn,BRL mn,NA,NA,NA,NA,NA,USD bn,RUB bn,BRL mn,BRL mn,BRL mn,RUB bn,IDR,IDR,BRL mn,BRL mn,BRL mn,BRL mn,BRL mn,BRL mn,BRL mn,AFN mn,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,% pa,IDR,IDR,IDR
Source,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,CEIC Data,Federal Competitiveness and Statistics Authority,Federal Competitiveness and Statistics Authority,Federal Competitiveness and Statistics Authority,CEIC Data,Institute of Statistics of Albania,CEIC Data,CEIC Data,Institute of Statistics of Albania,Institute of Statistics of Albania,Institute of Statistics of Albania,CEIC Data,CEIC Data,CEIC Data,CEIC Data,CEIC Data,CEIC Data,CEIC Data,CEIC Data,CEIC Data,Central Bureau of Statistics,CEIC Data,CEIC Data,Markit,Markit,Markit,Markit,Markit,Markit,Markit,Markit,Oxford Economics,Oxford Economics,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,Institute of Statistics of Albania,Institute of Statistics of Albania,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Markit,Markit,Markit,Markit,Markit,Organisation for Economic Co-operation and Development,Ministry of Economic Development of the Russian Federation,Central Bank of Brazil,Central Bank of Brazil,Central Bank of Brazil,Ministry of Finance of the Russian Federation,Central Bureau of Statistics,Central Bureau of Statistics,National Treasury Secretariat,National Treasury Secretariat,National Treasury Secretariat,National Treasury Secretariat,National Treasury Secretariat,National Treasury Secretariat,National Treasury Secretariat,International Monetary Fund,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Australia and New Zealand Banking Group Limited ,Central Bureau of Statistics,Central Bureau of Statistics,Central Bureau of Statistics
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Rebased,Rebased,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,368921927,368921997,368921987,368921897,370045707,370045697,402537117,368922007,368921967,368921957,368921947,368921937,366482857,386599997,386599927,386599877,384228547,368921977,384228557,384228537,368922037,368922027,368922017,384001337,384228567,261981801 (WARKAB),211505902,247333701 (TAYAAAAAA),313741601 (PAAAAAAZAF),206099802 (KAZACAAAA),211243902 (HAAAAAAAB),211193402,365766457 (DJXBFENAAAABAX),249418201 (JAAAAAAAAC),249446701 (DAAAAAAZAC),413173647,413172947,413172717,413172577,413171187,413170907,413170647,413170467,293658401,293661001,408940397,408912937,408913447,408911137,408895637,408921697,408904727,408910717,412035467,408929327,370050967,370045717,284903601,284902801,284902701,413173547,413173397,413173247,413173157,413170857,377030917,403962737,68953301 (BRFHA),68953401 (BRFHB),68953501 (BRFH),114179008,13142901 (DAPB),366391707 (DJXBFENAAAABCI),284902901,284903001,284903101,284903201,284903301,284903401,284903501,408926687,1011101 (ADDAADA),1011201 (ADDAADB),1011301 (ADDAADC),1011401 (ADDAADD),1011501 (ADDAADE),1011601 (ADDAADF),1011701 (ADDAADG),1011801 (ADDAADH),1011901 (ADDAADI),1012001 (ADDAADJ),1012101 (ADDAADK),1012201 (ADDAADL),1012301 (ADDAADM),1012401 (ADDAADN),1012501 (ADDAADO),1012601 (ADDAADP),81404601 (DAVDBA),13116601 (DALAA),81401501 (DAVCZV)
SR Code,SR91040377,SR91040457,SR91040447,SR91040387,SR92563157,SR92563147,SR114160817,SR91040467,SR91040427,SR91040417,SR91040407,SR91040397,SR87981857,SR105748827,SR105748767,SR105748717,SR102247717,SR91040437,SR102235617,SR102236597,SR91040497,SR91040487,SR91040477,SR102248997,SR102247237,SR4074121,SR3582439,SR3723738,SR4980342,SR7081824,SR4507406,SR4693621,SR87474897,SR101262797,SR3723637,SR125626027,SR125626087,SR125626117,SR125626067,SR125626047,SR125626057,SR125626107,SR125626017,SR4454424,SR4454426,SR118659137,SR118659157,SR118659167,SR118659227,SR118659187,SR118659177,SR118659207,SR118659197,SR124333567,SR118659147,SR92563167,SR92563187,SR4275844,SR4279034,SR4275784,SR125626137,SR125626097,SR125626007,SR125626077,SR125626037,SR5043327,SR115267797,SR180085,SR180086,SR180084,SR1401525,SR394754,SR87850927,SR4280201,SR4273221,SR4276941,SR4278339,SR4279067,SR4276379,SR4277216,SR118659247,SR715140,SR715141,SR715142,SR715143,SR715144,SR715145,SR715147,SR715148,SR715149,SR715150,SR715151,SR715152,SR715153,SR715154,SR715155,SR715156,SR711719,SR231625,SR711687
Mnemonic,AL.GDP.NM.ALL-MN-Q,,,AL.GDPGVA.NM.ALL-MN-Q,AL.GDPFCEG.NM.ALL-MN-Q,AL.GDPFCECHH.NM.ALL-MN-Q,AL.GDPNTAXP.NM.ALL-MN-Q,,,,,,,AE.GDPFCEG.RL.AED-MN-A,AE.GDPGCFCIV.NM.AED-MN-A,AE.GDPFCEG.NM.AED-MN-A,AL.GDPFCEG.NM.USD-MN-A,,AL.GDPFCEC.NM.USD-MN-Q,AL.GDPFCEC.NM.USD-MN-A,,,,AE.GDPFCEG.NM.USD-MN-A,AL.GDPFCEG.NM.USD-MN-Q,TW.GDP.RL.SA-YOY-Q,NZ.GDP.RL.SA-YOY-Q,TH.GDP.RL.SA-YOY-Q,PH.GDP.RL.SA-YOY-Q,KR.GDP.RL.SA-YOY-Q,HK.GDP.RL.SA-YOY-Q,AU.GDP.RL.SA-YOY-Q,ID.GDPPC.NM.IDR-A,JP.GDP.RLAS.SA-YOY-Q,ID.GDPPC.NM.USD-A,,,,,,,,,,,,,,,,,,,,,AL.GDPFCEGCL.NM.ALL-MN-Q,AL.GDPFCECNP.NM.ALL-MN-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
